time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,2.359,2.31,2.313,12389.66,29193.16,2.356,multiply,ETH
2018-03-01 11:00:00,2.383,2.347,2.345,2406.78,5734.27,2.383,divide,BTC
2018-03-01 12:00:00,2.351,2.319,2.355,9891.7,23009.1,2.326,multiply,BTC
2018-03-01 13:00:00,2.371,2.325,2.321,6007.1,14159.88,2.357,multiply,ETH
2018-03-01 14:00:00,2.376,2.333,2.357,13709.67,32575.04,2.376,multiply,ETH
2018-03-01 15:00:00,2.394,2.352,2.373,18693.89,44504.65,2.381,multiply,ETH
2018-03-01 16:00:00,2.502,2.388,2.382,72749.98,176351.48,2.424,multiply,ETH
2018-03-01 17:00:00,2.447,2.376,2.424,13802.84,32886.99,2.383,multiply,ETH
2018-03-01 18:00:00,2.441,2.388,2.393,11287.98,27103.31,2.401,multiply,BTC
2018-03-01 19:00:00,2.402,2.365,2.401,58566.48,138703.29,2.368,multiply,BTC
2018-03-01 20:00:00,2.431,2.384,2.368,12477.56,29834.52,2.391,multiply,BTC
2018-03-01 21:00:00,2.395,2.354,2.391,3855.19,9183.93,2.382,multiply,BTC
2018-03-01 22:00:00,2.406,2.364,2.382,6950.97,16644.67,2.395,multiply,BTC
2018-03-01 23:00:00,2.401,2.317,2.386,16095.21,37619.99,2.337,multiply,ETH
2018-03-02 00:00:00,2.399,2.337,2.326,13226.41,31497.22,2.381,multiply,BTC
2018-03-02 01:00:00,2.494,2.401,2.308,3365.68,8242.72,2.449,divide,BTC
2018-03-02 02:00:00,2.427,2.391,2.443,13266.13,31980.8,2.411,multiply,BTC
2018-03-02 03:00:00,2.421,2.35,2.412,25179.53,59643.38,2.369,multiply,ETH
2018-03-02 04:00:00,2.415,2.355,2.369,12060.08,28773.27,2.386,multiply,ETH
2018-03-02 05:00:00,2.42,2.355,2.408,15080.61,36183.0,2.399,multiply,BTC
2018-03-02 06:00:00,2.449,2.372,2.399,13808.11,32953.47,2.387,multiply,BTC
2018-03-02 07:00:00,2.387,2.363,2.386,16139.02,38277.0,2.372,multiply,BTC
2018-03-02 08:00:00,2.385,2.321,2.335,28096.77,65740.86,2.34,multiply,ETH
2018-03-02 09:00:00,2.344,2.302,2.34,18184.13,42386.55,2.331,multiply,ETH
2018-03-02 10:00:00,2.346,2.296,2.331,9494.61,21968.65,2.314,multiply,ETH
2018-03-02 11:00:00,2.331,2.297,2.321,5064.41,11692.34,2.309,multiply,BTC
2018-03-02 12:00:00,2.336,2.325,2.309,7597.42,17733.17,2.334,multiply,BTC
2018-03-02 13:00:00,2.322,2.27,2.322,21164.63,48436.75,2.289,multiply,ETH
2018-03-02 14:00:00,2.344,2.271,2.334,2674.78,6240.38,2.333,divide,BTC
2018-03-02 15:00:00,2.384,2.28,2.305,9018.63,21115.54,2.341,multiply,ETH
2018-03-02 16:00:00,2.367,2.317,2.327,12607.94,29373.29,2.33,multiply,BTC
2018-03-02 17:00:00,2.345,2.306,2.33,7889.11,18361.42,2.327,multiply,BTC
2018-03-02 18:00:00,2.332,2.309,2.327,3921.14,9084.06,2.317,multiply,BTC
2018-03-02 19:00:00,2.33,2.313,2.275,1258.6,2918.41,2.319,divide,BTC
2018-03-02 20:00:00,2.4,2.333,2.312,10608.6,25028.11,2.359,multiply,BTC
2018-03-02 21:00:00,2.372,2.346,2.359,9874.27,23307.81,2.36,multiply,BTC
2018-03-02 22:00:00,2.379,2.365,2.36,6448.57,15321.4,2.376,multiply,BTC
2018-03-02 23:00:00,2.376,2.346,2.376,10361.31,24600.56,2.374,multiply,BTC
2018-03-03 00:00:00,2.413,2.354,2.363,8873.63,21166.57,2.385,multiply,ETH
2018-03-03 01:00:00,2.431,2.354,2.4,29675.44,70314.81,2.369,multiply,BTC
2018-03-03 02:00:00,2.416,2.377,2.395,11047.88,26361.07,2.386,multiply,BTC
2018-03-03 03:00:00,2.398,2.312,2.377,11841.59,27772.22,2.345,multiply,ETH
2018-03-03 04:00:00,2.379,2.361,2.365,6608.61,15633.3,2.366,multiply,BTC
2018-03-03 05:00:00,2.364,2.338,2.365,6917.94,16277.09,2.353,multiply,BTC
2018-03-03 06:00:00,2.355,2.301,2.353,11874.08,27818.75,2.343,multiply,BTC
2018-03-03 07:00:00,2.332,2.308,2.324,2342.98,5440.34,2.322,divide,BTC
2018-03-03 08:00:00,2.343,2.312,2.337,18095.34,41935.66,2.317,multiply,ETH
2018-03-03 09:00:00,2.331,2.312,2.317,5360.45,12400.81,2.313,multiply,ETH
2018-03-03 10:00:00,2.352,2.312,2.313,9574.0,22163.76,2.315,multiply,ETH
2018-03-03 11:00:00,2.34,2.279,2.315,26398.33,61577.67,2.333,multiply,ETH
2018-03-03 12:00:00,2.369,2.322,2.334,11914.14,27850.42,2.338,multiply,ETH
2018-03-03 13:00:00,2.353,2.313,2.337,26120.83,61075.43,2.338,multiply,BTC
2018-03-03 14:00:00,2.339,2.31,2.334,9842.56,22795.19,2.316,multiply,ETH
2018-03-03 15:00:00,2.331,2.308,2.316,11934.0,27607.72,2.313,multiply,ETH
2018-03-03 16:00:00,2.251,2.222,2.271,1457.26,3262.54,2.239,divide,BTC
2018-03-03 17:00:00,2.314,2.28,2.24,7219.34,16474.43,2.282,divide,BTC
2018-03-03 18:00:00,2.321,2.289,2.298,9496.58,21875.81,2.304,multiply,BTC
2018-03-03 19:00:00,2.312,2.275,2.278,6553.12,15093.59,2.303,multiply,ETH
2018-03-03 20:00:00,2.297,2.256,2.309,5690.73,13026.19,2.289,multiply,BTC
2018-03-03 21:00:00,2.299,2.264,2.289,8176.97,18746.55,2.293,multiply,BTC
2018-03-03 22:00:00,2.304,2.283,2.285,16451.33,37571.58,2.284,multiply,ETH
2018-03-03 23:00:00,2.298,2.273,2.284,3794.01,8719.68,2.298,multiply,ETH
2018-03-04 00:00:00,2.299,2.23,2.298,12336.51,28308.96,2.295,multiply,ETH
2018-03-04 01:00:00,2.322,2.278,2.295,13935.19,32127.46,2.305,multiply,ETH
2018-03-04 02:00:00,2.271,2.251,2.293,1001.99,2263.27,2.259,divide,BTC
2018-03-04 03:00:00,2.338,2.265,2.288,15680.14,36114.17,2.303,multiply,ETH
2018-03-04 04:00:00,2.323,2.262,2.304,8798.25,20152.07,2.29,multiply,ETH
2018-03-04 05:00:00,2.3,2.279,2.29,6901.69,15733.0,2.28,multiply,ETH
2018-03-04 06:00:00,2.285,2.242,2.28,7922.19,17924.84,2.263,multiply,ETH
2018-03-04 07:00:00,2.291,2.263,2.277,14778.73,33751.89,2.284,multiply,BTC
2018-03-04 08:00:00,2.318,2.294,2.282,7395.66,17019.19,2.301,multiply,ETH
2018-03-04 09:00:00,2.308,2.293,2.301,6380.9,14657.58,2.297,multiply,ETH
2018-03-04 10:00:00,2.291,2.265,2.297,27609.26,62775.88,2.274,multiply,ETH
2018-03-04 11:00:00,2.284,2.262,2.274,13480.11,30548.4,2.266,multiply,ETH
2018-03-04 12:00:00,2.287,2.264,2.263,18194.04,41312.03,2.271,multiply,BTC
2018-03-04 13:00:00,2.284,2.271,2.268,10001.76,22768.66,2.276,multiply,ETH
2018-03-04 14:00:00,2.275,2.255,2.277,25030.78,56493.93,2.257,multiply,ETH
2018-03-04 15:00:00,2.275,2.192,2.257,58542.05,131856.13,2.252,multiply,ETH
2018-03-04 16:00:00,2.274,2.252,2.252,3804.87,8580.08,2.255,multiply,ETH
2018-03-04 17:00:00,2.276,2.256,2.267,3456.87,7844.31,2.269,multiply,BTC
2018-03-04 18:00:00,2.301,2.245,2.264,12287.32,28190.51,2.294,multiply,ETH
2018-03-04 19:00:00,2.37,2.291,2.293,15887.47,36572.26,2.302,multiply,BTC
2018-03-04 20:00:00,2.336,2.315,2.302,6865.5,15909.27,2.317,multiply,BTC
2018-03-04 21:00:00,2.321,2.297,2.317,5300.01,12234.75,2.308,multiply,BTC
2018-03-04 22:00:00,2.306,2.276,2.306,8534.83,19516.15,2.287,multiply,ETH
2018-03-04 23:00:00,2.312,2.299,2.288,6739.78,15522.96,2.303,multiply,BTC
2018-03-05 00:00:00,2.318,2.293,2.303,8312.54,19105.14,2.298,multiply,BTC
2018-03-05 01:00:00,2.306,2.285,2.294,12929.2,29701.29,2.297,multiply,BTC
2018-03-05 02:00:00,2.329,2.3,2.296,12155.86,28206.1,2.32,multiply,ETH
2018-03-05 03:00:00,2.343,2.33,2.322,8677.53,20254.89,2.334,multiply,BTC
2018-03-05 04:00:00,2.343,2.321,2.336,9761.22,22783.26,2.334,multiply,ETH
2018-03-05 05:00:00,2.334,2.321,2.335,5733.74,13353.03,2.329,multiply,ETH
2018-03-05 06:00:00,2.335,2.317,2.329,6292.45,14644.57,2.327,multiply,ETH
2018-03-05 07:00:00,2.347,2.322,2.327,8539.32,19853.75,2.325,multiply,ETH
2018-03-05 08:00:00,2.354,2.313,2.325,10710.66,24878.07,2.323,multiply,ETH
2018-03-05 09:00:00,2.346,2.32,2.324,3485.37,8091.82,2.322,multiply,ETH
2018-03-05 10:00:00,2.335,2.322,2.318,9761.91,22735.28,2.329,multiply,BTC
2018-03-05 11:00:00,2.311,2.295,2.323,2840.09,6536.86,2.302,divide,BTC
2018-03-05 12:00:00,2.351,2.324,2.326,17198.46,40173.8,2.336,multiply,ETH
2018-03-05 13:00:00,2.329,2.248,2.336,45455.67,103784.77,2.283,multiply,ETH
2018-03-05 14:00:00,2.305,2.259,2.283,9065.19,20888.3,2.304,multiply,ETH
2018-03-05 15:00:00,2.298,2.274,2.304,10162.41,23339.77,2.297,multiply,ETH
2018-03-05 16:00:00,2.305,2.281,2.297,6547.5,15032.77,2.296,multiply,ETH
2018-03-05 17:00:00,2.304,2.281,2.297,18345.14,42275.91,2.304,multiply,ETH
2018-03-05 18:00:00,2.36,2.332,2.306,24693.64,57934.2,2.346,multiply,BTC
2018-03-05 19:00:00,2.345,2.299,2.335,8270.61,19046.13,2.303,multiply,ETH
2018-03-05 20:00:00,2.307,2.214,2.31,27534.5,62658.58,2.276,multiply,BTC
2018-03-05 21:00:00,2.324,2.271,2.276,1559.24,3580.23,2.296,multiply,BTC
2018-03-05 22:00:00,2.313,2.29,2.296,2637.34,6072.93,2.303,multiply,BTC
2018-03-05 23:00:00,2.294,2.256,2.303,3032.12,6913.65,2.28,multiply,BTC
2018-03-06 00:00:00,2.305,2.261,2.289,10838.76,24649.1,2.274,multiply,BTC
2018-03-06 01:00:00,2.316,2.279,2.277,12954.12,29904.1,2.308,multiply,ETH
2018-03-06 02:00:00,2.313,2.29,2.308,10976.23,25388.84,2.313,multiply,ETH
2018-03-06 03:00:00,2.336,2.283,2.306,10230.38,23402.85,2.288,multiply,BTC
2018-03-06 04:00:00,2.315,2.28,2.288,4550.04,10467.87,2.301,multiply,BTC
2018-03-06 05:00:00,2.307,2.275,2.299,9902.84,22715.13,2.294,multiply,ETH
2018-03-06 06:00:00,2.326,2.272,2.287,28467.59,64827.82,2.277,multiply,ETH
2018-03-06 07:00:00,2.29,2.218,2.279,48010.07,108563.95,2.261,multiply,ETH
2018-03-06 08:00:00,2.269,2.253,2.261,3530.28,7994.21,2.264,multiply,ETH
2018-03-06 09:00:00,2.269,2.254,2.264,4388.62,9892.8,2.254,multiply,ETH
