time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,2.566,2.455,2.41,3431.18,8498.12,2.477,divide,BTC
2018-03-01 11:00:00,2.518,2.358,2.472,13977.0,32954.04,2.358,multiply,ETH
2018-03-01 12:00:00,2.428,2.343,2.368,72229.69,174937.26,2.422,multiply,BTC
2018-03-01 13:00:00,2.46,2.374,2.423,86708.2,206668.84,2.383,multiply,BTC
2018-03-01 14:00:00,2.407,2.306,2.372,17548.72,41514.32,2.366,multiply,ETH
2018-03-01 15:00:00,2.374,2.327,2.368,37117.65,87453.61,2.356,multiply,BTC
2018-03-01 16:00:00,2.496,2.344,2.351,14561.0,35334.83,2.427,multiply,ETH
2018-03-01 17:00:00,2.537,2.433,2.415,18910.0,46412.23,2.454,multiply,ETH
2018-03-01 18:00:00,2.548,2.422,2.454,20074.0,50089.73,2.495,multiply,ETH
2018-03-01 19:00:00,2.545,2.44,2.495,13889.0,34509.66,2.485,multiply,ETH
2018-03-01 20:00:00,2.556,2.476,2.479,112075.27,277765.45,2.478,multiply,BTC
2018-03-01 21:00:00,2.494,2.441,2.474,55601.84,136656.15,2.458,multiply,BTC
2018-03-01 22:00:00,2.499,2.463,2.455,20655.3,51003.62,2.469,multiply,BTC
2018-03-01 23:00:00,2.457,2.41,2.469,40408.6,97602.56,2.415,multiply,BTC
2018-03-02 00:00:00,2.496,2.436,2.415,23178.84,56631.53,2.443,multiply,BTC
2018-03-02 01:00:00,2.522,2.464,2.368,3315.65,8242.72,2.486,divide,BTC
2018-03-02 02:00:00,2.456,2.4,2.479,44153.57,107516.15,2.435,multiply,BTC
2018-03-02 03:00:00,2.515,2.429,2.445,27617.99,67093.93,2.429,multiply,BTC
2018-03-02 04:00:00,2.463,2.374,2.433,13245.0,32372.99,2.444,multiply,ETH
2018-03-02 05:00:00,2.481,2.394,2.426,26150.0,64601.77,2.47,multiply,ETH
2018-03-02 06:00:00,2.509,2.45,2.45,27938.66,69441.69,2.486,multiply,BTC
2018-03-02 07:00:00,2.504,2.424,2.48,9525.98,23194.33,2.435,multiply,ETH
2018-03-02 08:00:00,2.47,2.413,2.458,35669.01,86561.9,2.427,multiply,BTC
2018-03-02 09:00:00,2.426,2.346,2.427,57715.23,138911.67,2.407,multiply,BTC
2018-03-02 10:00:00,2.505,2.394,2.413,17656.0,43376.32,2.457,multiply,ETH
2018-03-02 11:00:00,2.465,2.393,2.461,38916.21,93758.85,2.409,multiply,BTC
2018-03-02 12:00:00,2.514,2.431,2.409,41607.29,102850.05,2.472,multiply,BTC
2018-03-02 13:00:00,2.483,2.441,2.473,18085.52,44877.71,2.481,multiply,BTC
2018-03-02 14:00:00,2.492,2.46,2.53,2520.35,6240.38,2.476,divide,BTC
2018-03-02 15:00:00,2.5,2.454,2.453,53811.04,133623.75,2.483,multiply,BTC
2018-03-02 16:00:00,2.487,2.457,2.483,32817.83,80631.47,2.457,multiply,BTC
2018-03-02 17:00:00,2.502,2.456,2.446,31696.8,78582.08,2.479,multiply,BTC
2018-03-02 18:00:00,2.495,2.446,2.479,25443.26,62339.35,2.45,multiply,BTC
2018-03-02 19:00:00,2.489,2.453,2.406,1183.37,2918.41,2.466,divide,BTC
2018-03-02 20:00:00,2.501,2.415,2.452,34964.99,86285.73,2.468,multiply,BTC
2018-03-02 21:00:00,2.476,2.397,2.464,14965.0,36436.53,2.435,multiply,ETH
2018-03-02 22:00:00,2.439,2.397,2.42,5716.0,13816.78,2.417,multiply,ETH
2018-03-02 23:00:00,2.45,2.396,2.425,16643.17,40544.63,2.436,multiply,BTC
2018-03-03 00:00:00,2.461,2.395,2.436,22717.62,55911.96,2.461,multiply,BTC
2018-03-03 01:00:00,2.492,2.453,2.461,8209.46,20162.2,2.456,multiply,BTC
2018-03-03 02:00:00,2.491,2.471,2.456,12513.9,30922.46,2.471,multiply,BTC
2018-03-03 03:00:00,2.481,2.449,2.472,8856.29,21718.41,2.452,multiply,BTC
2018-03-03 04:00:00,2.516,2.463,2.452,15576.92,38886.99,2.496,multiply,BTC
2018-03-03 05:00:00,2.513,2.453,2.508,17057.47,42011.24,2.463,multiply,BTC
2018-03-03 06:00:00,2.501,2.454,2.463,22848.9,57057.93,2.497,multiply,BTC
2018-03-03 07:00:00,2.475,2.394,2.477,2259.77,5440.34,2.407,divide,BTC
2018-03-03 08:00:00,2.447,2.425,2.423,29034.11,70909.23,2.442,multiply,BTC
2018-03-03 09:00:00,2.479,2.43,2.436,5086.0,12428.09,2.444,multiply,ETH
2018-03-03 10:00:00,2.484,2.446,2.444,4926.0,12113.74,2.459,multiply,ETH
2018-03-03 11:00:00,2.474,2.428,2.459,5650.97,13766.85,2.436,multiply,ETH
2018-03-03 12:00:00,2.466,2.35,2.436,11986.72,28726.82,2.397,multiply,ETH
2018-03-03 13:00:00,2.447,2.404,2.4,32201.42,77507.5,2.407,multiply,BTC
2018-03-03 14:00:00,2.409,2.282,2.421,14629.83,34008.43,2.325,multiply,ETH
2018-03-03 15:00:00,2.385,2.301,2.325,7457.54,17387.01,2.331,multiply,ETH
2018-03-03 16:00:00,2.314,2.248,2.292,1435.81,3262.54,2.272,divide,BTC
2018-03-03 17:00:00,2.403,2.332,2.273,6904.25,16474.43,2.386,divide,BTC
2018-03-03 18:00:00,2.425,2.367,2.403,32567.38,77229.14,2.371,multiply,BTC
2018-03-03 19:00:00,2.385,2.355,2.356,7532.27,17817.16,2.365,multiply,BTC
2018-03-03 20:00:00,2.346,2.313,2.366,17957.62,41532.45,2.313,multiply,BTC
2018-03-03 21:00:00,2.328,2.214,2.311,15307.27,34189.28,2.234,multiply,ETH
2018-03-03 22:00:00,2.262,2.19,2.234,8558.0,19207.55,2.244,multiply,ETH
2018-03-03 23:00:00,2.295,2.233,2.256,35481.3,80222.12,2.261,multiply,BTC
2018-03-04 00:00:00,2.225,2.192,2.216,923.22,2023.46,2.192,divide,BTC
2018-03-04 01:00:00,2.241,2.225,2.224,5529.91,12391.02,2.241,multiply,BTC
2018-03-04 02:00:00,2.251,2.214,2.239,30252.0,66987.29,2.214,multiply,ETH
2018-03-04 03:00:00,2.216,2.178,2.213,14141.71,31260.79,2.211,multiply,BTC
2018-03-04 04:00:00,2.227,2.201,2.211,15052.3,33312.01,2.213,multiply,BTC
2018-03-04 05:00:00,2.225,2.184,2.214,6197.0,13643.46,2.202,multiply,ETH
2018-03-04 06:00:00,2.226,2.169,2.202,4700.0,10301.46,2.192,multiply,ETH
2018-03-04 07:00:00,2.199,2.144,2.192,11175.0,23964.78,2.144,multiply,ETH
2018-03-04 08:00:00,2.305,2.151,2.144,13655.0,30671.39,2.246,multiply,ETH
2018-03-04 09:00:00,2.293,2.24,2.271,37058.4,83413.27,2.251,multiply,BTC
2018-03-04 10:00:00,2.262,2.182,2.251,65872.47,146315.03,2.221,multiply,BTC
2018-03-04 11:00:00,2.278,2.203,2.221,4913.18,10967.42,2.232,multiply,ETH
2018-03-04 12:00:00,2.252,2.218,2.227,36893.01,82527.68,2.237,multiply,BTC
2018-03-04 13:00:00,2.261,2.219,2.237,22065.32,49341.93,2.236,multiply,BTC
2018-03-04 14:00:00,2.244,2.205,2.231,5652.0,12616.84,2.232,multiply,ETH
2018-03-04 15:00:00,2.381,2.179,2.244,17424.38,41334.6,2.372,multiply,ETH
2018-03-04 16:00:00,2.387,2.309,2.381,8087.0,18687.78,2.311,multiply,ETH
2018-03-04 17:00:00,2.495,2.297,2.311,28326.61,67503.92,2.383,multiply,ETH
2018-03-04 18:00:00,2.509,2.413,2.418,132693.81,324448.18,2.445,multiply,BTC
2018-03-04 19:00:00,2.464,2.34,2.45,60859.81,144600.21,2.376,multiply,BTC
2018-03-04 20:00:00,2.41,2.332,2.385,52049.67,121629.6,2.337,multiply,BTC
2018-03-04 21:00:00,2.402,2.327,2.337,53495.06,127896.05,2.391,multiply,BTC
