time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,5.13,5.01,5.04,5561.01,28251.88,5.08,direct,
2018-03-01 11:00:00,5.14,5.05,5.11,8058.94,41106.89,5.11,direct,
2018-03-01 12:00:00,5.12,5.03,5.08,3165.43,16057.13,5.05,direct,
2018-03-01 13:00:00,5.084,5.025,4.974,9815.92,49544.95,5.047,multiply,BTC
2018-03-01 14:00:00,5.13,5.08,5.1,1556.8,7942.41,5.11,direct,
2018-03-01 15:00:00,5.12,5.05,5.12,3354.47,17025.93,5.08,direct,
2018-03-01 16:00:00,5.07,4.991,5.025,8633.58,43206.91,5.005,multiply,BTC
2018-03-01 17:00:00,5.114,5.053,5.005,6942.04,35379.6,5.096,multiply,BTC
2018-03-01 18:00:00,5.221,5.108,5.096,9683.53,50118.85,5.176,multiply,BTC
2018-03-01 19:00:00,5.28,5.15,5.27,11558.74,60420.99,5.21,direct,
2018-03-01 20:00:00,5.305,5.103,5.105,43460.88,221767.11,5.103,multiply,BTC
2018-03-01 21:00:00,5.091,5.053,5.103,7137.59,36147.72,5.064,multiply,BTC
2018-03-01 22:00:00,5.21,5.11,5.18,4407.16,22662.38,5.2,direct,
2018-03-01 23:00:00,5.097,5.056,5.109,5793.28,29404.37,5.076,multiply,BTC
2018-03-02 00:00:00,5.145,5.051,5.076,7399.02,37773.36,5.105,multiply,BTC
2018-03-02 01:00:00,5.18,5.035,4.948,1619.17,8242.72,5.091,divide,BTC
2018-03-02 02:00:00,5.06,4.995,5.077,25018.66,125524.69,5.017,multiply,BTC
2018-03-02 03:00:00,5.077,5.032,5.017,18495.2,93361.86,5.048,multiply,BTC
2018-03-02 04:00:00,5.046,4.989,5.048,6201.7,31294.33,5.046,multiply,BTC
2018-03-02 05:00:00,5.059,5.0,5.049,5701.13,28719.11,5.037,multiply,BTC
2018-03-02 06:00:00,5.2,5.04,5.08,5519.15,28341.27,5.13,direct,
2018-03-02 07:00:00,5.106,5.035,5.069,8118.9,41368.97,5.095,multiply,BTC
2018-03-02 08:00:00,5.2,5.05,5.11,5065.57,25985.61,5.09,direct,
2018-03-02 09:00:00,5.075,4.918,5.03,19333.49,96818.45,5.008,multiply,BTC
2018-03-02 10:00:00,5.048,4.989,5.008,11135.89,55693.75,5.001,multiply,BTC
2018-03-02 11:00:00,5.041,4.989,5.007,12795.58,64199.99,5.017,multiply,BTC
2018-03-02 12:00:00,5.063,5.004,5.018,14131.38,70891.71,5.017,multiply,BTC
2018-03-02 13:00:00,5.17,5.05,5.09,3501.62,17912.58,5.13,direct,
2018-03-02 14:00:00,4.947,4.879,4.995,9218.49,45466.31,4.932,multiply,BTC
2018-03-02 15:00:00,5.13,5.02,5.05,5768.49,29393.92,5.08,direct,
2018-03-02 16:00:00,5.036,4.967,5.013,14253.77,71172.54,4.993,multiply,BTC
2018-03-02 17:00:00,5.12,5.0,5.05,5461.79,27664.94,5.05,direct,
2018-03-02 18:00:00,5.006,4.968,4.959,8603.64,42960.02,4.993,multiply,BTC
2018-03-02 19:00:00,5.004,4.931,4.993,6911.78,34120.79,4.937,multiply,BTC
2018-03-02 20:00:00,5.13,5.02,5.05,3055.37,15537.58,5.09,direct,
2018-03-02 21:00:00,5.044,4.967,5.004,4648.16,23196.92,4.991,multiply,BTC
2018-03-02 22:00:00,5.053,5.01,4.991,7226.41,36325.34,5.027,multiply,BTC
2018-03-02 23:00:00,5.138,4.859,5.01,63405.16,315716.03,4.979,multiply,BTC
2018-03-03 00:00:00,5.142,4.916,4.952,19226.75,95590.33,4.972,multiply,ETH
2018-03-03 01:00:00,5.073,5.007,4.979,27553.26,138807.1,5.038,multiply,BTC
2018-03-03 02:00:00,5.08,5.02,5.038,11294.48,56829.35,5.032,multiply,BTC
2018-03-03 03:00:00,5.043,4.983,5.032,6318.38,31690.69,5.016,multiply,BTC
2018-03-03 04:00:00,5.054,4.999,5.016,4554.93,22892.61,5.026,multiply,BTC
2018-03-03 05:00:00,5.012,4.969,5.026,13802.43,69053.43,5.003,multiply,BTC
2018-03-03 06:00:00,5.006,4.835,5.003,19064.17,94715.8,4.968,multiply,BTC
2018-03-03 07:00:00,5.11,4.98,5.06,4336.58,21862.85,5.07,direct,
2018-03-03 08:00:00,5.114,4.973,4.992,23661.2,119686.52,5.058,multiply,BTC
2018-03-03 09:00:00,5.074,4.963,5.059,26635.38,132390.97,4.97,multiply,BTC
2018-03-03 10:00:00,5.14,4.99,4.99,4814.56,24446.05,5.07,direct,
2018-03-03 11:00:00,5.041,4.964,5.033,17806.69,88614.82,4.976,multiply,BTC
2018-03-03 12:00:00,5.084,5.008,4.985,31476.58,157748.22,5.012,multiply,BTC
2018-03-03 13:00:00,5.078,4.995,5.012,9195.95,45997.13,5.002,multiply,BTC
2018-03-03 14:00:00,5.061,4.952,5.052,10260.61,50815.48,4.952,multiply,BTC
2018-03-03 15:00:00,5.034,4.97,4.952,10930.82,54910.79,5.023,multiply,BTC
2018-03-03 16:00:00,5.12,5.02,5.08,3671.55,18581.43,5.06,direct,
2018-03-03 17:00:00,5.009,4.937,4.872,3316.14,16474.43,4.968,divide,BTC
2018-03-03 18:00:00,5.11,5.0,5.03,3557.8,17977.97,5.05,direct,
2018-03-03 19:00:00,4.997,4.939,4.968,3768.7,18699.54,4.962,multiply,BTC
2018-03-03 20:00:00,4.96,4.883,4.962,10747.87,53087.41,4.939,multiply,BTC
