time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,0.3493,0.3454,0.3426,24523.6,8498.12,0.3465,divide,BTC
2018-03-01 11:00:00,0.346,0.3449,0.3474,192338.23,66384.85,0.3451,multiply,ETH
2018-03-01 12:00:00,0.3439,0.3427,0.3451,167139.37,57323.29,0.343,multiply,ETH
2018-03-01 13:00:00,0.3465,0.3446,0.3428,201987.43,69742.42,0.3453,multiply,ETH
2018-03-01 14:00:00,0.3474,0.3444,0.3453,448769.25,155724.75,0.347,multiply,ETH
2018-03-01 15:00:00,0.3475,0.3456,0.347,256741.52,88943.92,0.3464,multiply,ETH
2018-03-01 16:00:00,0.3476,0.3468,0.3466,154470.31,53630.24,0.3472,multiply,ETH
2018-03-01 17:00:00,0.352,0.3503,0.3473,143116.1,50353.61,0.3518,multiply,ETH
2018-03-01 18:00:00,0.3563,0.3534,0.3518,122235.66,43350.17,0.3546,multiply,ETH
2018-03-01 19:00:00,0.3544,0.35,0.3546,188733.81,66562.74,0.3527,multiply,ETH
2018-03-01 20:00:00,0.3561,0.3534,0.3527,98944.04,35050.41,0.3542,multiply,ETH
2018-03-01 21:00:00,0.3522,0.35,0.3542,132868.51,46590.48,0.3507,multiply,ETH
2018-03-01 22:00:00,0.3512,0.3494,0.3509,101588.57,35623.4,0.3507,multiply,ETH
2018-03-01 23:00:00,0.3519,0.3491,0.351,163003.56,57071.24,0.3501,multiply,ETH
2018-03-02 00:00:00,0.3505,0.3485,0.3501,218085.5,76441.99,0.3505,multiply,ETH
2018-03-02 01:00:00,0.3538,0.3516,0.3505,271651.36,95752.07,0.3525,multiply,ETH
2018-03-02 02:00:00,0.3528,0.3509,0.3525,202495.32,71061.89,0.3509,multiply,ETH
2018-03-02 03:00:00,0.352,0.3484,0.3509,628962.18,219742.93,0.3494,multiply,ETH
2018-03-02 04:00:00,0.3505,0.3468,0.3494,263805.63,91790.56,0.3479,multiply,ETH
2018-03-02 05:00:00,0.349,0.3465,0.3479,163971.17,57167.55,0.3486,multiply,ETH
2018-03-02 06:00:00,0.3551,0.3487,0.3486,371514.41,130790.04,0.352,multiply,ETH
2018-03-02 07:00:00,0.353,0.3501,0.352,257273.29,90125.08,0.3503,multiply,ETH
2018-03-02 08:00:00,0.3555,0.3506,0.3504,363570.79,128837.69,0.3544,multiply,ETH
2018-03-02 09:00:00,0.3826,0.3508,0.3545,1124503.34,423951.08,0.377,multiply,ETH
2018-03-02 10:00:00,0.3767,0.3698,0.377,631125.56,234126.24,0.371,multiply,ETH
2018-03-02 11:00:00,0.3723,0.3684,0.3717,308376.55,114147.71,0.3702,multiply,ETH
2018-03-02 12:00:00,0.3722,0.3664,0.3693,345109.81,127004.18,0.368,multiply,ETH
2018-03-02 13:00:00,0.3674,0.3642,0.3677,354598.9,129525.94,0.3653,multiply,ETH
2018-03-02 14:00:00,0.3832,0.3605,0.3653,734922.27,280838.55,0.3821,multiply,ETH
2018-03-02 15:00:00,0.4217,0.3835,0.3852,1854761.63,770062.19,0.4152,multiply,ETH
2018-03-02 16:00:00,0.4153,0.3892,0.4148,718662.37,286205.44,0.3982,multiply,ETH
2018-03-02 17:00:00,0.4023,0.3976,0.3982,272354.01,109158.18,0.4008,multiply,ETH
2018-03-02 18:00:00,0.4019,0.3966,0.4008,160628.1,64220.65,0.3998,multiply,ETH
2018-03-02 19:00:00,0.3985,0.3951,0.3998,111503.24,44119.36,0.3957,multiply,ETH
2018-03-02 20:00:00,0.4024,0.3978,0.3957,156140.67,62388.07,0.3996,multiply,ETH
2018-03-02 21:00:00,0.4024,0.399,0.3999,172615.64,69148.84,0.4006,multiply,ETH
2018-03-02 22:00:00,0.407,0.3967,0.4007,171419.73,68686.44,0.4007,multiply,ETH
2018-03-02 23:00:00,0.4008,0.3902,0.4015,255478.54,100244.2,0.3924,multiply,ETH
2018-03-03 00:00:00,0.3954,0.3838,0.3922,323023.36,124348.8,0.385,multiply,ETH
2018-03-03 01:00:00,0.3884,0.3829,0.385,298398.65,114956.1,0.3852,multiply,ETH
2018-03-03 02:00:00,0.3855,0.3799,0.3855,411866.29,156985.73,0.3812,multiply,ETH
2018-03-03 03:00:00,0.3812,0.3795,0.3811,262516.69,99785.52,0.3801,multiply,ETH
2018-03-03 04:00:00,0.382,0.3797,0.3801,307441.48,116821.6,0.38,multiply,ETH
2018-03-03 05:00:00,0.3812,0.3771,0.38,246645.96,93864.29,0.3806,multiply,ETH
2018-03-03 06:00:00,0.3835,0.3794,0.3803,294023.78,111895.82,0.3806,multiply,ETH
2018-03-03 07:00:00,0.3798,0.3755,0.3793,14362.69,5440.34,0.3788,divide,BTC
2018-03-03 08:00:00,0.3849,0.38,0.3799,230913.01,88804.49,0.3846,multiply,ETH
2018-03-03 09:00:00,0.4114,0.3845,0.3846,619477.06,249816.3,0.4033,multiply,ETH
2018-03-03 10:00:00,0.4065,0.4018,0.403,408871.52,165626.08,0.4051,multiply,ETH
