time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,0.3585,0.3528,0.3492,24041.14,8498.12,0.3535,divide,BTC
2018-03-01 11:00:00,0.3552,0.3504,0.355,94998.13,33580.53,0.3535,multiply,ETH
2018-03-01 12:00:00,0.3598,0.3421,0.3421,2705.65,959.76,0.3598,direct,
2018-03-01 13:00:00,0.3714,0.3586,0.3598,129613.33,47748.57,0.3684,multiply,ETH
2018-03-01 14:00:00,0.3755,0.3636,0.3694,145907.35,54665.19,0.3747,multiply,ETH
2018-03-01 15:00:00,0.3843,0.373,0.3748,160190.03,61239.93,0.3823,multiply,ETH
2018-03-01 16:00:00,0.38,0.3653,0.3653,1327.0,502.14,0.375,direct,
2018-03-01 17:00:00,0.3688,0.3632,0.3637,124547.14,45640.3,0.3664,multiply,ETH
2018-03-01 18:00:00,0.3758,0.3682,0.3665,101898.51,37982.67,0.3727,multiply,ETH
2018-03-01 19:00:00,0.3727,0.369,0.3717,89690.21,33184.58,0.37,multiply,ETH
2018-03-01 20:00:00,0.3725,0.3679,0.3696,98212.32,36463.94,0.3713,multiply,ETH
2018-03-01 21:00:00,0.3717,0.3656,0.3713,92907.63,34188.05,0.368,multiply,ETH
2018-03-01 22:00:00,0.369,0.3614,0.368,105848.97,38731.56,0.3659,multiply,ETH
2018-03-01 23:00:00,0.365,0.34,0.365,1000.0,343.89,0.34,direct,
2018-03-02 00:00:00,0.412,0.34,0.34,7672.67,3015.36,0.4119,direct,
2018-03-02 01:00:00,0.4243,0.3885,0.4191,229193.85,91145.38,0.3977,multiply,ETH
2018-03-02 02:00:00,0.3967,0.3822,0.3965,148583.69,57461.98,0.3867,multiply,ETH
2018-03-02 03:00:00,0.389,0.3837,0.3869,106275.22,40821.43,0.3841,multiply,ETH
2018-03-02 04:00:00,0.3898,0.3827,0.3847,107788.44,41287.13,0.383,multiply,ETH
2018-03-02 05:00:00,0.3828,0.3728,0.3826,101783.73,38009.63,0.3734,multiply,ETH
2018-03-02 06:00:00,0.3787,0.3727,0.3734,111590.27,41699.41,0.3737,multiply,ETH
2018-03-02 07:00:00,0.3744,0.368,0.3738,127923.95,47361.21,0.3702,multiply,ETH
2018-03-02 08:00:00,0.3713,0.3644,0.3695,103208.17,38182.94,0.37,multiply,ETH
2018-03-02 09:00:00,0.3698,0.3541,0.3702,116722.85,41335.51,0.3541,multiply,ETH
2018-03-02 10:00:00,0.3593,0.3518,0.354,103802.45,36665.86,0.3532,multiply,ETH
2018-03-02 11:00:00,0.3537,0.3483,0.3532,114596.36,40317.43,0.3518,multiply,ETH
2018-03-02 12:00:00,0.3589,0.3529,0.3518,97360.32,34778.81,0.3572,multiply,ETH
2018-03-02 13:00:00,0.3577,0.3553,0.3573,112476.47,40085.8,0.3564,multiply,ETH
2018-03-02 14:00:00,0.3552,0.3504,0.3562,112930.78,40030.16,0.3545,multiply,ETH
2018-03-02 15:00:00,0.3568,0.3519,0.3541,107902.15,38287.1,0.3548,multiply,ETH
2018-03-02 16:00:00,0.3788,0.3532,0.355,283663.73,105589.24,0.3722,multiply,ETH
2018-03-02 17:00:00,0.3838,0.3657,0.3744,175089.51,65136.83,0.372,multiply,ETH
2018-03-02 18:00:00,0.38,0.3641,0.372,104207.75,39567.16,0.3797,multiply,ETH
2018-03-02 19:00:00,0.3788,0.3713,0.3797,102282.33,38303.7,0.3745,multiply,ETH
2018-03-02 20:00:00,0.3792,0.375,0.3747,93215.7,35054.65,0.3761,multiply,ETH
2018-03-02 21:00:00,0.3776,0.3734,0.3761,110680.41,41385.88,0.3739,multiply,ETH
2018-03-02 22:00:00,0.3723,0.3585,0.3585,1266.16,465.93,0.3723,direct,
2018-03-02 23:00:00,0.3723,0.3599,0.3723,6679.27,2415.21,0.36,direct,
2018-03-03 00:00:00,0.3731,0.3623,0.3704,114559.31,41766.98,0.3646,multiply,ETH
2018-03-03 01:00:00,0.3697,0.3618,0.3611,104203.13,37969.01,0.3644,multiply,ETH
2018-03-03 02:00:00,0.3676,0.3611,0.3632,107852.48,39336.4,0.3647,multiply,ETH
2018-03-03 03:00:00,0.3658,0.3561,0.3642,111631.59,40017.32,0.3585,multiply,ETH
2018-03-03 04:00:00,0.3669,0.3565,0.3586,106717.57,38724.52,0.3629,multiply,ETH
2018-03-03 05:00:00,0.3705,0.3598,0.3636,110002.93,39764.65,0.3615,multiply,ETH
2018-03-03 06:00:00,0.3649,0.359,0.3617,108413.02,39143.59,0.3611,multiply,ETH
2018-03-03 07:00:00,0.36,0.3557,0.3598,15121.7,5440.34,0.3598,divide,BTC
2018-03-03 08:00:00,0.3614,0.3586,0.3592,98712.0,35570.29,0.3603,multiply,ETH
2018-03-03 09:00:00,0.3681,0.359,0.3603,90640.69,33309.25,0.3675,multiply,ETH
2018-03-03 10:00:00,0.3725,0.3606,0.3674,104211.98,37698.72,0.3618,multiply,ETH
2018-03-03 11:00:00,0.3645,0.3598,0.3618,96661.44,35168.56,0.3638,multiply,ETH
2018-03-03 12:00:00,0.3669,0.3602,0.3638,96608.83,35231.83,0.3647,multiply,ETH
2018-03-03 13:00:00,0.3671,0.3586,0.3654,218676.11,78675.96,0.3598,multiply,BTC
2018-03-03 14:00:00,0.3637,0.3567,0.3603,91193.47,33074.5,0.3627,multiply,ETH
2018-03-03 15:00:00,0.3652,0.3572,0.3635,124250.65,44839.79,0.3609,multiply,ETH
2018-03-03 16:00:00,0.3625,0.3559,0.361,109763.74,39255.33,0.3576,multiply,ETH
2018-03-03 17:00:00,0.3637,0.3582,0.3509,45786.76,16474.43,0.3598,divide,BTC
2018-03-03 18:00:00,0.3624,0.3578,0.3599,92717.27,33451.31,0.3608,multiply,ETH
2018-03-03 19:00:00,0.3645,0.3553,0.3553,853.05,304.8,0.3645,direct,
2018-03-03 20:00:00,0.3899,0.3645,0.3645,1864.49,715.13,0.3899,direct,
2018-03-03 21:00:00,0.3603,0.3553,0.356,95971.04,34375.43,0.3582,multiply,ETH
2018-03-03 22:00:00,0.3605,0.3564,0.3584,105756.65,38113.47,0.3604,multiply,ETH
2018-03-03 23:00:00,0.3618,0.36,0.3604,52967.95,19134.96,0.3613,multiply,ETH
2018-03-04 00:00:00,0.3744,0.3604,0.3613,151870.55,55350.31,0.3645,multiply,ETH
2018-03-04 01:00:00,0.3672,0.361,0.3645,117568.3,42895.73,0.3649,multiply,ETH
2018-03-04 02:00:00,0.3818,0.3621,0.3654,138196.51,52331.09,0.3787,multiply,ETH
2018-03-04 03:00:00,0.3769,0.3551,0.3768,119984.06,42702.28,0.3559,multiply,ETH
2018-03-04 04:00:00,0.355,0.35,0.355,1273.35,449.47,0.35,direct,
2018-03-04 05:00:00,0.3496,0.3403,0.3476,110812.35,38379.26,0.3463,multiply,ETH
2018-03-04 06:00:00,0.3506,0.3434,0.3463,105074.38,36653.45,0.3488,multiply,ETH
2018-03-04 07:00:00,0.353,0.3444,0.3487,116482.99,41006.0,0.352,multiply,ETH
2018-03-04 08:00:00,0.3579,0.35,0.352,103289.3,36800.47,0.3563,multiply,ETH
2018-03-04 09:00:00,0.3617,0.3497,0.356,107702.67,38236.0,0.355,multiply,ETH
2018-03-04 10:00:00,0.3548,0.3496,0.3563,101945.69,35812.91,0.3513,multiply,ETH
2018-03-04 11:00:00,0.3537,0.3492,0.3513,107310.05,37684.0,0.3512,multiply,ETH
2018-03-04 12:00:00,0.3542,0.35,0.3513,155969.95,55084.3,0.3532,multiply,BTC
2018-03-04 13:00:00,0.3544,0.3513,0.3523,102604.74,36163.52,0.3525,multiply,ETH
2018-03-04 14:00:00,0.3541,0.3468,0.3525,97106.93,34347.39,0.3537,multiply,ETH
2018-03-04 15:00:00,0.3571,0.3531,0.3537,95271.71,33803.02,0.3548,multiply,ETH
2018-03-04 16:00:00,0.3657,0.3567,0.3567,739.19,264.81,0.3649,direct,
2018-03-04 17:00:00,0.3568,0.3541,0.3536,126627.0,45171.27,0.3567,multiply,ETH
2018-03-04 18:00:00,0.3583,0.3579,0.3567,109219.52,39116.51,0.3581,multiply,ETH
2018-03-04 19:00:00,0.3633,0.358,0.3582,90676.57,32782.15,0.3615,multiply,ETH
2018-03-04 20:00:00,0.3641,0.3605,0.3615,105776.55,38246.13,0.3616,multiply,ETH
2018-03-04 21:00:00,0.3632,0.359,0.3615,97993.34,35191.19,0.3591,multiply,ETH
2018-03-04 22:00:00,0.3598,0.3573,0.3598,101875.7,36633.37,0.3596,multiply,ETH
2018-03-04 23:00:00,0.3644,0.3577,0.3595,111823.15,40230.53,0.3598,multiply,ETH
2018-03-05 00:00:00,0.3602,0.356,0.3598,103399.3,36819.2,0.3561,multiply,ETH
2018-03-05 01:00:00,0.3574,0.354,0.3556,98815.39,35147.47,0.3557,multiply,ETH
2018-03-05 02:00:00,0.359,0.3539,0.357,94686.69,33931.8,0.3584,multiply,ETH
2018-03-05 03:00:00,0.366,0.3581,0.3581,87426.03,31658.42,0.3621,multiply,ETH
2018-03-05 04:00:00,0.3643,0.3589,0.3622,110720.48,39996.42,0.3612,multiply,ETH
2018-03-05 05:00:00,0.3642,0.3527,0.3613,134469.63,47433.32,0.3527,multiply,ETH
2018-03-05 06:00:00,0.3591,0.3499,0.353,114566.63,40441.43,0.353,multiply,ETH
2018-03-05 07:00:00,0.358,0.3516,0.353,109410.74,38899.83,0.3555,multiply,ETH
2018-03-05 08:00:00,0.3562,0.3495,0.3555,136178.13,48044.29,0.3528,multiply,ETH
2018-03-05 09:00:00,0.3566,0.3493,0.3517,110208.13,39169.81,0.3554,multiply,ETH
2018-03-05 10:00:00,0.3564,0.3519,0.3541,119813.6,42180.33,0.352,multiply,BTC
2018-03-05 11:00:00,0.355,0.3483,0.3509,18467.42,6536.86,0.354,divide,BTC
2018-03-05 12:00:00,0.3567,0.3522,0.3556,99190.93,35304.97,0.3559,multiply,ETH
2018-03-05 13:00:00,0.3562,0.3502,0.3559,101401.71,35661.1,0.3517,multiply,ETH
2018-03-05 14:00:00,0.3542,0.3501,0.3529,86317.98,30510.35,0.3535,multiply,ETH
2018-03-05 15:00:00,0.3568,0.352,0.3538,85968.36,30531.13,0.3551,multiply,ETH
2018-03-05 16:00:00,0.3594,0.3516,0.3549,135109.46,48158.89,0.3564,multiply,ETH
2018-03-05 17:00:00,0.3574,0.3547,0.3557,84360.72,30027.03,0.3559,multiply,ETH
2018-03-05 18:00:00,0.3607,0.3568,0.3559,100973.74,36243.77,0.3589,multiply,ETH
2018-03-05 19:00:00,0.3604,0.3564,0.3591,95656.81,34313.96,0.3587,multiply,ETH
2018-03-05 20:00:00,0.3634,0.3567,0.3588,154488.18,55408.72,0.3587,multiply,ETH
2018-03-05 21:00:00,0.3628,0.3556,0.3629,90897.2,32358.2,0.356,multiply,ETH
2018-03-05 22:00:00,0.36,0.3547,0.3565,87249.04,30994.96,0.3552,multiply,ETH
2018-03-05 23:00:00,0.3567,0.3513,0.3563,106005.41,37376.9,0.3526,multiply,ETH
2018-03-06 00:00:00,0.3501,0.3436,0.3523,110493.57,38499.5,0.3484,multiply,ETH
2018-03-06 01:00:00,0.3507,0.3455,0.3461,121461.35,42529.42,0.3501,multiply,ETH
2018-03-06 02:00:00,0.3511,0.3455,0.3495,86593.02,30172.3,0.3484,multiply,ETH
2018-03-06 03:00:00,0.3509,0.3456,0.349,91332.15,31638.88,0.3464,multiply,ETH
2018-03-06 04:00:00,0.3705,0.35,0.3705,2357.5,846.26,0.35,direct,
2018-03-06 05:00:00,0.3502,0.3473,0.3474,116952.07,40721.74,0.3482,multiply,ETH
2018-03-06 06:00:00,0.3528,0.3477,0.3482,88822.31,31120.87,0.3504,multiply,ETH
2018-03-06 07:00:00,0.3512,0.3467,0.3504,87110.37,30441.09,0.3495,multiply,ETH
2018-03-06 08:00:00,0.3491,0.343,0.3484,103480.62,35942.05,0.3473,multiply,ETH
2018-03-06 09:00:00,0.3487,0.345,0.3473,95167.13,33046.07,0.3472,multiply,ETH
2018-03-06 10:00:00,0.3443,0.3389,0.3472,106627.45,36227.47,0.3398,multiply,ETH
2018-03-06 11:00:00,0.3402,0.3352,0.3398,104580.75,35171.75,0.3363,multiply,ETH
2018-03-06 12:00:00,0.3367,0.3307,0.3363,102013.95,34107.15,0.3343,multiply,ETH
2018-03-06 13:00:00,0.3335,0.3276,0.3343,120423.06,40058.18,0.3326,multiply,ETH
2018-03-06 14:00:00,0.3358,0.3263,0.3316,118508.99,39506.8,0.3334,multiply,ETH
2018-03-06 15:00:00,0.3356,0.3322,0.3337,106329.12,35515.53,0.334,multiply,ETH
2018-03-06 16:00:00,0.3331,0.3272,0.3342,107788.22,35477.76,0.3291,multiply,ETH
2018-03-06 17:00:00,0.3279,0.3245,0.3285,111688.8,36578.74,0.3275,multiply,ETH
2018-03-06 18:00:00,0.3273,0.3238,0.3274,125550.3,40698.44,0.3242,multiply,ETH
2018-03-06 19:00:00,0.3263,0.3229,0.3242,97928.95,31792.08,0.3246,multiply,ETH
2018-03-06 20:00:00,0.3242,0.3222,0.3247,93929.12,30419.39,0.3239,multiply,ETH
2018-03-06 21:00:00,0.3311,0.3249,0.3239,111446.69,36265.73,0.3254,multiply,ETH
2018-03-06 22:00:00,0.3303,0.3254,0.3254,120532.99,39512.04,0.3278,multiply,ETH
2018-03-06 23:00:00,0.3293,0.3254,0.3284,103331.58,33723.04,0.3264,multiply,ETH
2018-03-07 00:00:00,0.3317,0.3278,0.3263,105001.32,34652.18,0.33,multiply,ETH
2018-03-07 01:00:00,0.3331,0.3292,0.3293,98636.91,32502.14,0.3295,multiply,ETH
2018-03-07 02:00:00,0.337,0.33,0.337,10116.19,3338.75,0.33,direct,
2018-03-07 03:00:00,0.343,0.33,0.33,1482.05,504.15,0.341,direct,
2018-03-07 04:00:00,0.3269,0.3224,0.3233,111724.07,36317.3,0.3251,multiply,ETH
2018-03-07 05:00:00,0.3212,0.3165,0.3258,116374.89,37129.22,0.319,multiply,ETH
2018-03-07 06:00:00,0.3153,0.3101,0.3178,115948.14,36226.6,0.3124,multiply,ETH
2018-03-07 07:00:00,0.341,0.312,0.341,2915.4,937.27,0.312,direct,
2018-03-07 08:00:00,0.3119,0.3056,0.3094,99054.5,30696.91,0.3099,multiply,ETH
2018-03-07 09:00:00,0.3074,0.2964,0.3101,124511.76,37618.08,0.3021,multiply,ETH
2018-03-07 10:00:00,0.3087,0.3036,0.3022,103741.23,31798.85,0.3065,multiply,ETH
2018-03-07 11:00:00,0.3146,0.3088,0.3065,125101.66,39005.72,0.3118,multiply,ETH
2018-03-07 12:00:00,0.3126,0.3056,0.3118,107795.76,33423.55,0.3101,multiply,ETH
2018-03-07 13:00:00,0.3172,0.3103,0.3096,43683.4,13835.72,0.3167,multiply,ETH
2018-03-07 14:00:00,0.32,0.3101,0.3163,68156.94,21641.09,0.3175,multiply,ETH
