time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,1.147,1.13,1.124,7465.41,8498.12,1.138,divide,BTC
2018-03-01 11:00:00,1.141,1.129,1.141,68818.11,78377.29,1.139,multiply,ETH
2018-03-01 12:00:00,1.153,1.127,1.139,83127.85,95656.55,1.151,multiply,ETH
2018-03-01 13:00:00,1.16,1.143,1.15,109956.32,126393.53,1.149,multiply,ETH
2018-03-01 14:00:00,1.16,1.15,1.15,7319.6,8424.33,1.15,direct,
2018-03-01 15:00:00,1.143,1.135,1.145,67895.83,77387.71,1.14,multiply,ETH
2018-03-01 16:00:00,1.145,1.134,1.139,76303.89,86630.68,1.135,multiply,ETH
2018-03-01 17:00:00,1.151,1.145,1.135,57820.92,66479.6,1.15,multiply,ETH
2018-03-01 18:00:00,1.162,1.152,1.15,76974.27,89371.23,1.161,multiply,ETH
2018-03-01 19:00:00,1.17,1.15,1.16,10641.68,12353.19,1.17,direct,
2018-03-01 20:00:00,1.171,1.161,1.158,129039.99,150786.43,1.169,multiply,ETH
2018-03-01 21:00:00,1.163,1.154,1.169,58433.16,67467.77,1.155,multiply,ETH
2018-03-01 22:00:00,1.161,1.154,1.155,55508.0,64188.76,1.156,multiply,ETH
2018-03-01 23:00:00,1.161,1.153,1.158,52755.23,61079.85,1.158,multiply,ETH
2018-03-02 00:00:00,1.172,1.156,1.158,233289.14,272164.64,1.167,multiply,ETH
2018-03-02 01:00:00,1.18,1.18,1.18,8160.07,9630.03,1.18,direct,
2018-03-02 02:00:00,1.2,1.18,1.18,6419.41,7657.88,1.2,direct,
2018-03-02 03:00:00,1.197,1.187,1.189,83815.42,99926.21,1.192,multiply,ETH
2018-03-02 04:00:00,1.19,1.182,1.191,68022.58,80612.0,1.185,multiply,ETH
2018-03-02 05:00:00,1.18,1.18,1.18,2690.62,3173.8,1.18,direct,
2018-03-02 06:00:00,1.18,1.17,1.18,6340.5,7462.14,1.17,direct,
2018-03-02 07:00:00,1.17,1.15,1.17,3211.12,3728.62,1.15,direct,
