time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,5.283,5.181,5.17,888.51,4632.07,5.213,multiply,BTC
2018-03-01 11:00:00,5.262,5.187,5.207,556.87,2916.16,5.237,multiply,ETH
2018-03-01 12:00:00,5.4,5.198,5.21,1244.99,6513.29,5.232,multiply,BTC
2018-03-01 13:00:00,5.307,5.198,5.232,403.85,2099.37,5.198,multiply,BTC
2018-03-01 14:00:00,5.204,5.087,5.198,2629.16,13374.42,5.087,multiply,BTC
2018-03-01 15:00:00,5.056,4.914,5.087,3120.99,15336.38,4.914,multiply,BTC
2018-03-01 16:00:00,5.006,4.909,4.914,1106.45,5538.44,5.006,multiply,BTC
2018-03-01 17:00:00,5.054,4.956,5.006,3521.14,17489.81,4.967,multiply,BTC
2018-03-01 18:00:00,5.044,4.98,4.96,706.7,3564.68,5.044,multiply,ETH
2018-03-01 19:00:00,5.055,4.954,5.044,858.48,4300.61,5.01,multiply,ETH
2018-03-01 20:00:00,5.196,5.041,5.023,4426.75,22319.16,5.042,multiply,BTC
2018-03-01 21:00:00,5.154,4.946,5.042,1713.1,8505.18,4.965,multiply,BTC
2018-03-01 22:00:00,4.981,4.963,4.963,1024.37,5102.79,4.981,multiply,BTC
2018-03-01 23:00:00,5.08,4.924,4.982,472.83,2337.37,4.943,multiply,BTC
2018-03-02 00:00:00,5.211,4.97,4.943,1171.59,6076.94,5.187,multiply,BTC
2018-03-02 01:00:00,5.245,5.026,5.187,831.2,4185.03,5.035,multiply,BTC
2018-03-02 02:00:00,5.264,4.987,5.035,2399.76,12212.75,5.089,multiply,BTC
2018-03-02 03:00:00,5.223,5.03,5.089,1670.35,8643.66,5.175,multiply,BTC
2018-03-02 04:00:00,5.093,4.963,5.062,1671.68,8296.91,4.963,multiply,ETH
2018-03-02 05:00:00,5.061,4.958,4.963,207.87,1037.91,4.993,multiply,ETH
2018-03-02 06:00:00,5.104,4.972,4.993,1272.98,6391.79,5.021,multiply,ETH
2018-03-02 07:00:00,5.05,4.833,5.021,1345.28,6501.96,4.833,multiply,ETH
2018-03-02 08:00:00,4.879,4.722,4.833,1117.05,5376.23,4.813,multiply,ETH
2018-03-02 09:00:00,4.842,4.718,4.83,1083.92,5113.63,4.718,multiply,BTC
2018-03-02 10:00:00,4.943,4.731,4.718,1864.58,9115.26,4.889,multiply,BTC
2018-03-02 11:00:00,4.939,4.851,4.889,1790.26,8724.17,4.873,multiply,BTC
2018-03-02 12:00:00,5.015,4.886,4.871,1158.58,5801.31,5.007,multiply,ETH
2018-03-02 13:00:00,5.09,4.943,5.03,785.2,3983.07,5.073,multiply,BTC
2018-03-02 14:00:00,4.992,4.81,4.998,2823.39,14022.84,4.967,multiply,BTC
2018-03-02 15:00:00,5.019,4.994,4.967,651.79,3271.05,5.019,multiply,BTC
2018-03-02 16:00:00,5.168,5.02,5.019,2445.82,12372.11,5.058,multiply,BTC
2018-03-02 17:00:00,5.193,5.076,5.11,2431.4,12475.13,5.131,multiply,BTC
2018-03-02 18:00:00,5.202,5.141,5.131,1086.44,5639.95,5.191,multiply,BTC
2018-03-02 19:00:00,5.191,5.103,5.191,734.7,3806.11,5.18,multiply,BTC
2018-03-02 20:00:00,5.25,5.168,5.181,3073.24,16066.78,5.228,multiply,BTC
2018-03-02 21:00:00,5.258,5.216,5.228,947.9,4944.24,5.216,multiply,BTC
2018-03-02 22:00:00,5.295,5.253,5.258,1220.39,6461.9,5.295,multiply,BTC
2018-03-02 23:00:00,5.254,5.212,5.295,498.07,2612.62,5.245,multiply,BTC
2018-03-03 00:00:00,5.284,5.218,5.245,2603.17,13582.4,5.218,multiply,BTC
2018-03-03 01:00:00,5.325,5.242,5.218,1820.48,9543.41,5.242,multiply,BTC
2018-03-03 02:00:00,5.37,5.28,5.242,1789.31,9447.07,5.28,multiply,BTC
