time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,2.297,2.248,2.252,3711.77,8498.12,2.29,divide,BTC
2018-03-01 11:00:00,2.284,2.269,2.285,614490.0,1397556.2,2.274,multiply,ETH
2018-03-01 12:00:00,2.295,2.263,2.274,717804.53,1637705.1,2.282,multiply,ETH
2018-03-01 13:00:00,2.311,2.255,2.279,810911.67,1833971.25,2.262,multiply,ETH
2018-03-01 14:00:00,2.261,2.202,2.257,956614.88,2129517.02,2.226,multiply,ETH
2018-03-01 15:00:00,2.247,2.216,2.227,755444.92,1684903.06,2.23,multiply,ETH
2018-03-01 16:00:00,2.297,2.229,2.226,774550.48,1766808.08,2.281,multiply,ETH
2018-03-01 17:00:00,2.308,2.288,2.281,608109.76,1391431.14,2.288,multiply,ETH
2018-03-01 18:00:00,2.316,2.294,2.292,675136.24,1552310.19,2.299,multiply,ETH
2018-03-01 19:00:00,2.3,2.279,2.301,609276.97,1390275.42,2.282,multiply,ETH
2018-03-01 20:00:00,2.291,2.272,2.282,580333.27,1325188.66,2.283,multiply,ETH
2018-03-01 21:00:00,2.298,2.263,2.284,631433.84,1447128.91,2.292,multiply,ETH
2018-03-01 22:00:00,2.302,2.285,2.292,632579.1,1449783.31,2.292,multiply,ETH
2018-03-01 23:00:00,2.303,2.286,2.292,614481.21,1411664.07,2.297,multiply,ETH
2018-03-02 00:00:00,2.347,2.281,2.296,817259.97,1912581.5,2.34,multiply,ETH
2018-03-02 01:00:00,2.36,2.318,2.34,813000.61,1891971.95,2.327,multiply,ETH
2018-03-02 02:00:00,2.336,2.278,2.328,738853.21,1689652.68,2.287,multiply,ETH
2018-03-02 03:00:00,2.313,2.269,2.287,748272.48,1720858.57,2.3,multiply,ETH
2018-03-02 04:00:00,2.302,2.255,2.308,876375.57,1990915.54,2.272,multiply,ETH
2018-03-02 05:00:00,2.281,2.229,2.272,879110.29,1963779.56,2.234,multiply,ETH
2018-03-02 06:00:00,2.241,2.183,2.234,1061694.38,2317620.4,2.183,multiply,ETH
2018-03-02 07:00:00,2.213,2.17,2.183,1107505.53,2422998.94,2.188,multiply,ETH
2018-03-02 08:00:00,2.206,2.169,2.191,706954.35,1548825.03,2.191,multiply,ETH
2018-03-02 09:00:00,2.201,2.167,2.191,892469.18,1936232.56,2.17,multiply,ETH
2018-03-02 10:00:00,2.173,2.115,2.178,894922.68,1909613.38,2.134,multiply,ETH
2018-03-02 11:00:00,2.138,2.085,2.139,837801.09,1774162.61,2.118,multiply,ETH
2018-03-02 12:00:00,2.159,2.116,2.117,705177.02,1510678.92,2.142,multiply,ETH
2018-03-02 13:00:00,2.151,2.134,2.143,688595.59,1476144.2,2.144,multiply,ETH
2018-03-02 14:00:00,2.124,2.106,2.142,866044.09,1833322.21,2.117,multiply,ETH
2018-03-02 15:00:00,2.2,2.114,2.114,714996.25,1560968.9,2.183,multiply,ETH
2018-03-02 16:00:00,2.242,2.165,2.181,646810.8,1415254.67,2.188,multiply,ETH
2018-03-02 17:00:00,2.198,2.181,2.184,587882.26,1287353.27,2.19,multiply,ETH
2018-03-02 18:00:00,2.199,2.183,2.191,637880.89,1397728.69,2.191,multiply,ETH
