time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,2.071,2.047,2.023,4122.05,8498.12,2.062,divide,BTC
2018-03-01 11:00:00,2.071,2.04,2.057,28036.11,57845.05,2.063,multiply,ETH
2018-03-01 12:00:00,2.06,2.032,2.069,23150.52,47174.84,2.038,multiply,ETH
2018-03-01 13:00:00,2.058,1.948,2.037,90203.85,179632.33,1.991,multiply,ETH
2018-03-01 14:00:00,2.046,1.913,1.986,36240.77,73481.26,2.028,multiply,ETH
2018-03-01 15:00:00,2.032,2.001,2.024,32779.29,65801.06,2.007,multiply,ETH
2018-03-01 16:00:00,2.042,2.005,2.007,30101.71,61203.03,2.033,multiply,ETH
2018-03-01 17:00:00,2.062,2.041,2.029,24511.0,50336.4,2.054,multiply,ETH
2018-03-01 18:00:00,2.07,2.043,2.054,34895.0,71430.23,2.047,multiply,ETH
2018-03-01 19:00:00,2.044,2.006,2.047,30882.38,62152.94,2.013,multiply,ETH
2018-03-01 20:00:00,2.053,2.008,2.013,23975.13,48537.81,2.025,multiply,ETH
2018-03-01 21:00:00,2.018,1.992,2.024,33148.81,66503.41,2.006,multiply,ETH
2018-03-01 22:00:00,2.035,2.003,2.006,24765.1,50068.04,2.022,multiply,ETH
2018-03-01 23:00:00,2.025,2.002,2.026,24961.87,50266.94,2.014,multiply,ETH
2018-03-02 00:00:00,2.035,1.988,2.016,27668.0,55537.51,2.007,multiply,ETH
2018-03-02 01:00:00,2.041,1.993,2.021,32114.49,64768.58,2.017,multiply,ETH
2018-03-02 02:00:00,2.032,2.001,2.025,23932.88,48190.12,2.014,multiply,ETH
2018-03-02 03:00:00,2.031,1.985,2.005,33351.32,67414.97,2.021,multiply,ETH
2018-03-02 04:00:00,2.018,1.985,2.018,29974.73,59847.75,1.997,multiply,ETH
2018-03-02 05:00:00,2.007,1.983,1.991,25364.0,50657.53,1.997,multiply,ETH
2018-03-02 06:00:00,2.013,1.967,1.994,30861.0,61309.6,1.987,multiply,ETH
2018-03-02 07:00:00,2.0,1.966,1.984,24772.25,49304.98,1.99,multiply,ETH
2018-03-02 08:00:00,2.002,1.975,1.991,22476.25,44464.56,1.978,multiply,ETH
2018-03-02 09:00:00,1.973,1.84,1.978,49107.01,92548.42,1.885,multiply,ETH
2018-03-02 10:00:00,1.888,1.78,1.892,72964.89,135086.21,1.851,multiply,ETH
2018-03-02 11:00:00,1.877,1.831,1.851,32086.12,59688.32,1.86,multiply,ETH
2018-03-02 12:00:00,1.874,1.824,1.859,31808.33,59160.77,1.86,multiply,ETH
2018-03-02 13:00:00,1.869,1.831,1.861,30621.0,56770.31,1.854,multiply,ETH
2018-03-02 14:00:00,1.854,1.789,1.861,39339.52,72124.59,1.833,multiply,ETH
2018-03-02 15:00:00,1.856,1.795,1.833,33884.83,62883.21,1.856,multiply,ETH
2018-03-02 16:00:00,1.858,1.807,1.846,37815.92,69313.97,1.833,multiply,ETH
2018-03-02 17:00:00,1.836,1.736,1.835,62533.1,110159.23,1.762,multiply,ETH
2018-03-02 18:00:00,1.779,1.738,1.762,32194.9,57125.46,1.774,multiply,ETH
2018-03-02 19:00:00,1.837,1.759,1.771,30679.25,55735.43,1.817,multiply,ETH
2018-03-02 20:00:00,1.862,1.822,1.817,21919.23,40086.54,1.829,multiply,ETH
2018-03-02 21:00:00,1.852,1.786,1.829,41571.17,76402.81,1.838,multiply,ETH
2018-03-02 22:00:00,1.873,1.811,1.838,50417.17,91889.09,1.823,multiply,ETH
2018-03-02 23:00:00,1.849,1.789,1.816,35938.96,65711.41,1.828,multiply,ETH
2018-03-03 00:00:00,1.847,1.747,1.839,37225.9,65733.49,1.766,multiply,ETH
2018-03-03 01:00:00,1.805,1.767,1.774,32862.83,58619.88,1.784,multiply,ETH
2018-03-03 02:00:00,1.816,1.782,1.786,36585.13,66132.02,1.808,multiply,ETH
2018-03-03 03:00:00,1.81,1.776,1.809,35075.85,62400.76,1.779,multiply,ETH
2018-03-03 04:00:00,1.787,1.75,1.782,37975.03,67341.02,1.773,multiply,ETH
2018-03-03 05:00:00,1.776,1.765,1.774,42002.04,74429.59,1.772,multiply,ETH
2018-03-03 06:00:00,1.776,1.757,1.771,34951.78,61393.87,1.757,multiply,ETH
2018-03-03 07:00:00,1.761,1.734,1.757,3103.93,5440.34,1.753,divide,BTC
2018-03-03 08:00:00,1.803,1.774,1.78,25916.0,46380.47,1.79,multiply,ETH
2018-03-03 09:00:00,1.798,1.746,1.793,46065.38,81226.2,1.763,multiply,ETH
2018-03-03 10:00:00,1.79,1.755,1.768,30369.35,54262.17,1.787,multiply,ETH
