time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,4.267,4.22,4.214,1352.46,5707.5,4.22,multiply,BTC
2018-03-01 11:00:00,4.229,4.16,4.22,2235.71,9303.71,4.161,multiply,BTC
2018-03-01 12:00:00,4.213,4.129,4.164,2259.3,9485.64,4.198,multiply,BTC
2018-03-01 13:00:00,4.251,4.194,4.198,1250.71,5245.87,4.194,multiply,BTC
2018-03-01 14:00:00,4.242,4.168,4.194,2541.55,10681.59,4.203,multiply,BTC
2018-03-01 15:00:00,4.194,4.14,4.203,2378.87,9966.82,4.19,multiply,BTC
2018-03-01 16:00:00,4.205,4.175,4.19,3115.16,13094.96,4.204,multiply,BTC
2018-03-01 17:00:00,4.263,4.238,4.205,1746.76,7446.06,4.263,multiply,BTC
2018-03-01 18:00:00,4.304,4.272,4.263,1435.68,6148.94,4.283,multiply,BTC
2018-03-01 19:00:00,4.288,4.226,4.282,1298.05,5521.9,4.254,multiply,BTC
2018-03-01 20:00:00,4.307,4.202,4.254,2934.57,12417.93,4.232,multiply,BTC
2018-03-01 21:00:00,4.264,4.161,4.232,2976.87,12664.45,4.254,multiply,BTC
2018-03-01 22:00:00,4.311,4.269,4.253,1522.09,6503.74,4.273,multiply,BTC
2018-03-01 23:00:00,4.288,4.247,4.273,1629.25,6919.67,4.247,multiply,BTC
2018-03-02 00:00:00,4.333,4.28,4.268,3788.6,16257.41,4.291,multiply,BTC
2018-03-02 01:00:00,4.363,4.321,4.291,2312.03,10019.23,4.334,multiply,BTC
2018-03-02 02:00:00,4.313,4.217,4.354,1570.7,6730.21,4.285,multiply,BTC
2018-03-02 03:00:00,4.325,4.229,4.285,1667.11,7198.36,4.318,multiply,BTC
2018-03-02 04:00:00,4.318,4.229,4.29,1293.19,5469.14,4.229,multiply,ETH
2018-03-02 05:00:00,4.303,4.257,4.259,1921.39,8249.37,4.293,multiply,BTC
2018-03-02 06:00:00,4.338,4.293,4.293,2029.66,8753.23,4.313,multiply,BTC
2018-03-02 07:00:00,4.326,4.286,4.312,2420.97,10419.16,4.304,multiply,BTC
2018-03-02 08:00:00,4.334,4.269,4.304,1804.9,7705.93,4.269,multiply,BTC
2018-03-02 09:00:00,4.241,4.184,4.27,2711.84,11474.71,4.231,multiply,BTC
2018-03-02 10:00:00,4.265,4.243,4.231,814.59,3465.52,4.254,multiply,BTC
2018-03-02 11:00:00,4.261,4.239,4.265,1095.16,4654.79,4.25,multiply,BTC
2018-03-02 12:00:00,4.289,4.19,4.251,3729.22,15891.58,4.261,multiply,BTC
2018-03-02 13:00:00,4.237,4.178,4.242,2710.9,11325.85,4.178,multiply,ETH
2018-03-02 14:00:00,4.186,4.093,4.18,2051.96,8488.03,4.137,multiply,BTC
2018-03-02 15:00:00,4.168,4.105,4.131,2214.62,9215.32,4.161,multiply,BTC
2018-03-02 16:00:00,4.163,4.121,4.143,1447.56,6006.83,4.15,multiply,BTC
2018-03-02 17:00:00,4.175,4.143,4.131,1930.14,7996.35,4.143,multiply,BTC
2018-03-02 18:00:00,4.163,4.135,4.155,793.81,3290.77,4.146,multiply,BTC
2018-03-02 19:00:00,4.152,4.102,4.136,2287.02,9444.3,4.13,multiply,BTC
2018-03-02 20:00:00,4.182,4.144,4.13,1091.09,4521.04,4.144,multiply,BTC
2018-03-02 21:00:00,4.173,4.127,4.144,1547.96,6399.45,4.134,multiply,BTC
2018-03-02 22:00:00,4.195,4.154,4.134,2405.36,9997.88,4.156,multiply,BTC
2018-03-02 23:00:00,4.201,4.125,4.156,1599.43,6637.64,4.15,multiply,BTC
2018-03-03 00:00:00,4.2,4.16,4.15,848.52,3548.41,4.182,multiply,BTC
2018-03-03 01:00:00,4.248,4.209,4.182,1752.8,7439.91,4.245,multiply,BTC
2018-03-03 02:00:00,4.278,4.238,4.283,1368.73,5801.81,4.239,multiply,ETH
2018-03-03 03:00:00,4.259,4.191,4.242,1167.9,4954.23,4.242,multiply,BTC
