time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,1.888,1.879,1.853,4510.61,8498.12,1.884,divide,BTC
2018-03-01 11:00:00,1.876,1.834,1.876,23416.37,43410.9,1.854,multiply,ETH
2018-03-01 12:00:00,1.858,1.822,1.854,19180.8,35072.54,1.829,multiply,ETH
2018-03-01 13:00:00,1.876,1.846,1.837,26266.05,48894.29,1.862,multiply,BTC
2018-03-01 14:00:00,1.896,1.841,1.845,16972.5,31617.77,1.863,multiply,ETH
2018-03-01 15:00:00,1.886,1.857,1.863,10815.37,20364.92,1.883,multiply,ETH
2018-03-01 16:00:00,1.878,1.862,1.863,18504.64,34608.74,1.87,multiply,ETH
2018-03-01 17:00:00,1.891,1.88,1.87,9750.15,18402.19,1.887,multiply,ETH
2018-03-01 18:00:00,1.897,1.888,1.887,13008.98,24559.92,1.888,multiply,ETH
2018-03-01 19:00:00,1.897,1.874,1.888,13322.64,25077.25,1.882,multiply,ETH
2018-03-01 20:00:00,1.952,1.889,1.882,21409.5,41332.5,1.931,multiply,ETH
2018-03-01 21:00:00,1.942,1.876,1.931,36969.63,69597.6,1.883,multiply,ETH
2018-03-01 22:00:00,1.907,1.889,1.882,75714.95,143796.99,1.899,multiply,BTC
2018-03-01 23:00:00,1.944,1.88,1.888,14321.04,26932.99,1.881,multiply,ETH
2018-03-02 00:00:00,1.935,1.871,1.881,19183.39,36321.84,1.893,multiply,ETH
2018-03-02 01:00:00,1.942,1.9,1.838,4334.95,8242.72,1.901,divide,BTC
2018-03-02 02:00:00,1.899,1.888,1.894,8593.15,16222.28,1.888,multiply,ETH
2018-03-02 03:00:00,1.926,1.887,1.888,16443.51,31386.88,1.909,multiply,ETH
2018-03-02 04:00:00,1.904,1.883,1.909,11336.46,21351.21,1.883,multiply,ETH
2018-03-02 05:00:00,1.893,1.884,1.888,81612.66,153956.3,1.886,multiply,BTC
2018-03-02 06:00:00,1.903,1.887,1.882,9477.05,18017.14,1.901,multiply,ETH
2018-03-02 07:00:00,1.904,1.879,1.901,16011.74,30225.09,1.888,multiply,ETH
2018-03-02 08:00:00,1.897,1.867,1.888,13715.08,25722.63,1.875,multiply,ETH
2018-03-02 09:00:00,1.859,1.84,1.875,36466.28,67308.66,1.846,multiply,ETH
2018-03-02 10:00:00,1.847,1.823,1.846,56807.25,103998.16,1.831,multiply,ETH
2018-03-02 11:00:00,1.841,1.82,1.831,12682.13,23078.87,1.82,multiply,ETH
2018-03-02 12:00:00,1.832,1.816,1.82,11598.67,21071.78,1.817,multiply,ETH
2018-03-02 13:00:00,1.834,1.814,1.817,53494.35,97469.97,1.822,multiply,ETH
2018-03-02 14:00:00,1.815,1.767,1.822,17538.43,31465.82,1.794,multiply,ETH
2018-03-02 15:00:00,1.808,1.788,1.794,9561.04,17195.72,1.799,multiply,ETH
2018-03-02 16:00:00,1.807,1.8,1.798,10734.62,19354.32,1.803,multiply,ETH
2018-03-02 17:00:00,1.809,1.756,1.803,22104.29,39185.34,1.773,multiply,ETH
2018-03-02 18:00:00,1.812,1.771,1.772,13878.39,25041.08,1.804,multiply,ETH
2018-03-02 19:00:00,1.823,1.812,1.771,1603.1,2918.41,1.82,divide,BTC
2018-03-02 20:00:00,1.84,1.832,1.81,70033.4,128378.89,1.833,multiply,BTC
2018-03-02 21:00:00,1.824,1.81,1.825,5732.02,10451.19,1.823,multiply,ETH
2018-03-02 22:00:00,1.828,1.816,1.824,8241.09,15012.93,1.822,multiply,ETH
2018-03-02 23:00:00,1.821,1.817,1.834,76506.06,139149.36,1.819,multiply,BTC
2018-03-03 00:00:00,1.828,1.785,1.814,28535.56,51074.64,1.79,multiply,ETH
2018-03-03 01:00:00,1.821,1.792,1.79,16524.22,29675.8,1.796,multiply,ETH
