time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,0.6668,0.6571,0.6546,12865.55,8498.12,0.6605,divide,BTC
2018-03-01 11:00:00,0.6628,0.6542,0.6598,77785.55,51383.76,0.6606,multiply,ETH
2018-03-01 12:00:00,0.6585,0.6499,0.66,79377.37,51661.43,0.6508,multiply,ETH
2018-03-01 13:00:00,0.6573,0.6495,0.6507,81901.83,53491.28,0.6531,multiply,ETH
2018-03-01 14:00:00,0.6617,0.6501,0.6529,89394.59,58731.64,0.657,multiply,ETH
2018-03-01 15:00:00,0.6581,0.6529,0.657,94965.63,62253.45,0.6555,multiply,ETH
2018-03-01 16:00:00,0.6598,0.6541,0.6555,110656.41,72569.49,0.6558,multiply,ETH
2018-03-01 17:00:00,0.6708,0.6604,0.6558,129396.82,86513.1,0.6686,multiply,ETH
2018-03-01 18:00:00,0.6762,0.6679,0.6674,91974.91,62092.12,0.6751,multiply,ETH
2018-03-01 19:00:00,0.675,0.6691,0.6763,70231.18,47131.42,0.6711,multiply,ETH
2018-03-01 20:00:00,0.6804,0.6734,0.6706,82143.69,55558.48,0.6764,multiply,ETH
2018-03-01 21:00:00,0.6769,0.6632,0.6764,95919.5,64503.97,0.6725,multiply,ETH
2018-03-01 22:00:00,0.6756,0.6666,0.6725,95610.78,63988.3,0.6693,multiply,ETH
2018-03-01 23:00:00,0.6712,0.6633,0.6686,75257.8,50027.97,0.6648,multiply,ETH
2018-03-02 00:00:00,0.6651,0.6581,0.6649,101342.04,67281.72,0.6639,multiply,ETH
2018-03-02 01:00:00,0.6683,0.6604,0.6639,166236.74,110084.31,0.6622,multiply,ETH
2018-03-02 02:00:00,0.6624,0.6512,0.6617,132103.26,87204.54,0.6601,multiply,ETH
2018-03-02 03:00:00,0.674,0.6589,0.6601,123470.91,82718.83,0.6699,multiply,ETH
2018-03-02 04:00:00,0.6701,0.6633,0.6717,80259.28,53420.07,0.6656,multiply,ETH
2018-03-02 05:00:00,0.6761,0.6602,0.6656,112570.17,75340.74,0.6693,multiply,ETH
2018-03-02 06:00:00,0.6731,0.6675,0.671,76516.22,51377.63,0.6715,multiply,ETH
2018-03-02 07:00:00,0.6713,0.6573,0.6715,84867.96,55805.56,0.6576,multiply,ETH
2018-03-02 08:00:00,0.6688,0.6531,0.6553,76573.83,50641.85,0.6613,multiply,ETH
2018-03-02 09:00:00,0.6576,0.6522,0.6613,67738.02,44263.2,0.6534,multiply,ETH
2018-03-02 10:00:00,0.6565,0.651,0.6527,69128.68,45330.11,0.6557,multiply,ETH
2018-03-02 11:00:00,0.6559,0.6516,0.6557,78665.04,51255.17,0.6516,multiply,ETH
2018-03-02 12:00:00,0.6559,0.6515,0.651,70056.06,45882.66,0.6549,multiply,ETH
2018-03-02 13:00:00,0.6616,0.6523,0.6549,99228.23,65064.0,0.6557,multiply,ETH
2018-03-02 14:00:00,0.6519,0.6476,0.6557,70629.87,45958.48,0.6507,multiply,ETH
2018-03-02 15:00:00,0.6652,0.65,0.6501,80128.81,52926.02,0.6605,multiply,ETH
2018-03-02 16:00:00,0.6666,0.6462,0.6604,89613.96,58386.86,0.6515,multiply,ETH
2018-03-02 17:00:00,0.6551,0.6467,0.6516,87096.71,56524.02,0.649,multiply,ETH
2018-03-02 18:00:00,0.6567,0.6467,0.6488,87385.09,57166.88,0.6542,multiply,ETH
2018-03-02 19:00:00,0.6543,0.6479,0.6536,96825.74,62979.65,0.6504,multiply,ETH
2018-03-02 20:00:00,0.658,0.6536,0.6504,67077.41,43908.01,0.6546,multiply,ETH
2018-03-02 21:00:00,0.6575,0.6489,0.6536,98779.34,64569.88,0.6537,multiply,ETH
2018-03-02 22:00:00,0.6568,0.6536,0.6538,84194.66,55078.89,0.6542,multiply,ETH
2018-03-02 23:00:00,0.655,0.6495,0.6542,81220.24,52890.39,0.6512,multiply,ETH
2018-03-03 00:00:00,0.6628,0.6538,0.6512,86517.45,57161.45,0.6607,multiply,ETH
