time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,21.97,21.79,21.66,6937.04,151818.0,21.89,multiply,BTC
2018-03-01 11:00:00,22.02,21.65,21.84,6200.61,136430.42,22.0,multiply,BTC
2018-03-01 12:00:00,23.14,21.74,22.01,28916.6,661850.28,22.89,multiply,BTC
2018-03-01 13:00:00,23.82,23.02,22.89,17647.97,410361.0,23.25,multiply,BTC
2018-03-01 14:00:00,23.74,23.11,23.25,11772.4,275662.3,23.42,multiply,BTC
2018-03-01 15:00:00,23.48,22.69,23.43,9766.54,224033.7,22.94,multiply,BTC
2018-03-01 16:00:00,23.11,21.96,22.94,13874.85,307978.0,22.2,multiply,BTC
2018-03-01 17:00:00,23.0,22.17,22.2,17416.0,387482.28,22.25,multiply,BTC
2018-03-01 18:00:00,22.55,21.98,22.25,7329.27,163136.08,22.26,multiply,BTC
2018-03-01 19:00:00,22.55,22.08,22.25,5401.07,121013.9,22.41,multiply,BTC
2018-03-01 20:00:00,22.86,22.18,22.38,8124.15,182398.25,22.45,multiply,BTC
2018-03-01 21:00:00,22.29,21.65,22.43,9993.23,218477.96,21.86,multiply,BTC
2018-03-01 22:00:00,22.2,21.86,21.83,4683.92,102539.2,21.89,multiply,BTC
2018-03-01 23:00:00,21.91,21.3,21.88,8493.63,185381.56,21.83,multiply,BTC
2018-03-02 00:00:00,22.17,21.51,21.83,8557.39,184597.16,21.57,multiply,BTC
2018-03-02 01:00:00,22.28,21.33,21.57,9817.35,213157.08,21.71,multiply,BTC
2018-03-02 02:00:00,21.91,21.3,21.71,5329.24,114852.93,21.55,multiply,BTC
2018-03-02 03:00:00,22.18,21.66,21.55,4851.09,106243.37,21.9,multiply,BTC
2018-03-02 04:00:00,21.88,21.53,21.9,3808.23,83273.63,21.87,multiply,BTC
2018-03-02 05:00:00,21.86,21.33,21.87,4418.1,95014.35,21.51,multiply,BTC
2018-03-02 06:00:00,21.74,21.55,21.4,3589.93,77650.24,21.63,multiply,BTC
2018-03-02 07:00:00,21.69,21.5,21.63,3628.69,78487.11,21.63,multiply,BTC
2018-03-02 08:00:00,21.73,21.44,21.63,4880.33,104860.4,21.49,multiply,BTC
2018-03-02 09:00:00,21.21,21.0,21.48,3542.22,74709.87,21.09,multiply,BTC
2018-03-02 10:00:00,21.17,20.69,21.11,7911.18,165687.74,20.94,multiply,BTC
2018-03-02 11:00:00,21.68,20.88,20.94,7798.93,167785.28,21.51,multiply,BTC
2018-03-02 12:00:00,21.71,21.47,21.49,5055.44,108523.65,21.47,multiply,BTC
2018-03-02 13:00:00,21.49,21.11,21.42,3777.37,81076.98,21.46,multiply,BTC
2018-03-02 14:00:00,21.37,20.9,21.45,6032.21,128902.88,21.37,multiply,BTC
2018-03-02 15:00:00,22.08,21.1,21.37,14062.07,308540.11,21.94,multiply,BTC
2018-03-02 16:00:00,22.15,21.45,21.94,7864.74,169975.77,21.61,multiply,BTC
2018-03-02 17:00:00,21.75,21.28,21.6,3272.46,69626.92,21.28,multiply,BTC
2018-03-02 18:00:00,21.79,21.22,21.28,4741.87,101918.66,21.49,multiply,BTC
2018-03-02 19:00:00,21.6,21.16,21.5,3835.24,81747.04,21.31,multiply,BTC
2018-03-02 20:00:00,21.61,21.04,21.32,8611.1,183316.86,21.29,multiply,BTC
2018-03-02 21:00:00,21.41,20.97,21.28,5758.82,121552.01,21.11,multiply,BTC
2018-03-02 22:00:00,21.4,21.1,21.14,3430.1,72641.13,21.18,multiply,BTC
2018-03-02 23:00:00,21.05,20.77,21.17,5016.25,105250.6,20.98,multiply,BTC
2018-03-03 00:00:00,21.09,20.49,20.98,8604.55,179486.23,20.86,multiply,BTC
2018-03-03 01:00:00,21.28,20.86,20.93,4285.61,90808.69,21.19,multiply,BTC
2018-03-03 02:00:00,21.38,20.91,21.2,4997.93,104927.97,20.99,multiply,BTC
2018-03-03 03:00:00,21.07,20.83,20.98,4392.49,91647.11,20.86,multiply,BTC
2018-03-03 04:00:00,21.21,20.69,20.86,3547.91,73796.36,20.8,multiply,BTC
2018-03-03 05:00:00,20.78,20.67,20.82,4201.02,87216.16,20.76,multiply,BTC
2018-03-03 06:00:00,21.06,20.69,20.93,4131.74,85637.06,20.73,multiply,BTC
2018-03-03 07:00:00,20.82,20.46,20.73,4556.73,93383.55,20.49,multiply,BTC
2018-03-03 08:00:00,21.22,20.52,20.49,5588.53,118521.65,21.21,multiply,BTC
2018-03-03 09:00:00,21.35,20.89,21.25,4992.84,105484.46,21.13,multiply,BTC
2018-03-03 10:00:00,21.22,20.8,21.1,2504.31,52182.33,20.84,multiply,BTC
2018-03-03 11:00:00,21.04,20.76,20.85,2984.19,62476.44,20.94,multiply,BTC
2018-03-03 12:00:00,21.22,20.96,20.92,2083.11,43671.31,20.96,multiply,BTC
2018-03-03 13:00:00,21.23,20.92,20.96,4134.85,87533.86,21.17,multiply,BTC
2018-03-03 14:00:00,21.12,20.42,21.17,7257.54,149298.43,20.57,multiply,BTC
2018-03-03 15:00:00,20.95,20.29,20.63,8275.89,173342.86,20.95,multiply,BTC
2018-03-03 16:00:00,20.97,20.17,20.92,7613.0,154843.22,20.34,multiply,BTC
2018-03-03 17:00:00,20.82,20.41,20.34,5059.02,104816.39,20.72,multiply,BTC
2018-03-03 18:00:00,20.81,20.55,20.71,2257.08,46752.08,20.71,multiply,BTC
2018-03-03 19:00:00,20.77,20.37,20.73,3089.5,63035.81,20.4,multiply,BTC
2018-03-03 20:00:00,20.76,19.97,20.38,5016.87,101881.71,20.31,multiply,BTC
2018-03-03 21:00:00,20.39,20.23,20.31,2461.37,50190.46,20.39,multiply,BTC
2018-03-03 22:00:00,20.56,20.38,20.39,3604.86,73452.79,20.38,multiply,BTC
2018-03-03 23:00:00,20.51,20.08,20.38,5292.25,106671.14,20.16,multiply,BTC
2018-03-04 00:00:00,20.17,19.94,20.11,2292.8,46058.46,20.09,multiply,BTC
2018-03-04 01:00:00,20.24,19.95,20.09,2390.81,48061.64,20.1,multiply,BTC
2018-03-04 02:00:00,20.07,19.74,20.1,2535.23,50142.74,19.78,multiply,BTC
2018-03-04 03:00:00,19.68,19.42,19.78,3689.13,71758.72,19.45,multiply,BTC
2018-03-04 04:00:00,19.56,19.08,19.45,5738.86,111283.11,19.39,multiply,BTC
2018-03-04 05:00:00,19.39,19.05,19.39,5726.85,110000.32,19.21,multiply,BTC
2018-03-04 06:00:00,19.4,19.03,19.21,3647.85,70296.16,19.27,multiply,BTC
2018-03-04 07:00:00,19.73,19.32,19.27,5169.18,100851.46,19.51,multiply,BTC
2018-03-04 08:00:00,20.22,19.6,19.51,6207.23,124213.82,20.01,multiply,BTC
2018-03-04 09:00:00,20.25,19.91,20.01,4441.11,89417.05,20.13,multiply,BTC
2018-03-04 10:00:00,20.07,19.82,20.13,4117.82,81766.46,19.86,multiply,BTC
2018-03-04 11:00:00,20.05,19.86,19.94,2996.27,59951.58,20.01,multiply,BTC
2018-03-04 12:00:00,20.16,20.01,20.02,2044.02,41109.95,20.11,multiply,BTC
2018-03-04 13:00:00,20.2,20.0,20.12,2990.54,59901.43,20.03,multiply,BTC
2018-03-04 14:00:00,20.22,19.91,20.08,3085.24,61991.46,20.09,multiply,BTC
2018-03-04 15:00:00,23.5,20.09,20.08,103827.12,2398956.54,23.11,multiply,BTC
2018-03-04 16:00:00,23.26,21.5,23.08,45871.88,999165.09,21.78,multiply,BTC
2018-03-04 17:00:00,21.79,21.03,21.78,21340.91,461433.12,21.62,multiply,BTC
2018-03-04 18:00:00,22.09,21.29,21.62,11212.77,239621.08,21.37,multiply,BTC
2018-03-04 19:00:00,21.8,21.2,21.35,8697.54,189321.61,21.77,multiply,BTC
2018-03-04 20:00:00,22.61,21.58,21.77,29231.55,640117.08,21.9,multiply,BTC
2018-03-04 21:00:00,23.29,21.79,21.95,35400.37,821650.3,23.21,multiply,BTC
2018-03-04 22:00:00,23.62,21.78,23.22,36650.93,804286.77,21.94,multiply,BTC
2018-03-04 23:00:00,22.61,21.97,21.96,10487.89,230575.7,21.98,multiply,BTC
