time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,4.993,4.712,4.691,1792.24,8498.12,4.742,divide,BTC
2018-03-01 11:00:00,5.133,4.756,4.742,1127.01,5734.27,5.088,divide,BTC
2018-03-01 12:00:00,5.018,4.794,5.019,74081.15,361288.78,4.877,multiply,BTC
2018-03-01 13:00:00,4.938,4.704,4.866,54844.36,261265.42,4.764,multiply,BTC
2018-03-01 14:00:00,4.955,4.698,4.764,38979.21,189869.38,4.871,multiply,BTC
2018-03-01 15:00:00,4.881,4.693,4.881,38367.31,184871.22,4.818,multiply,BTC
2018-03-01 16:00:00,4.834,4.75,4.819,17961.26,86252.51,4.802,multiply,BTC
2018-03-01 17:00:00,5.017,4.787,4.792,64785.71,313205.65,4.834,multiply,BTC
2018-03-01 18:00:00,5.088,4.871,4.845,43960.39,218712.83,4.975,multiply,BTC
2018-03-01 19:00:00,5.096,4.95,4.964,30128.09,152277.9,5.054,multiply,BTC
2018-03-01 20:00:00,5.168,4.992,5.065,33263.12,167708.81,5.042,multiply,BTC
2018-03-01 21:00:00,5.231,4.993,5.042,69149.21,358830.41,5.189,multiply,BTC
2018-03-01 22:00:00,5.257,5.165,5.188,45736.28,239133.8,5.229,multiply,BTC
2018-03-01 23:00:00,5.256,5.068,5.229,69382.55,355797.91,5.128,multiply,BTC
2018-03-02 00:00:00,5.321,5.139,5.159,89279.12,468605.93,5.249,multiply,BTC
2018-03-02 01:00:00,5.415,5.152,5.087,1580.24,8242.72,5.216,divide,BTC
2018-03-02 02:00:00,5.204,5.092,5.195,20104.97,104030.01,5.174,multiply,BTC
2018-03-02 03:00:00,5.381,5.2,5.173,445687.79,2357414.56,5.289,multiply,BTC
2018-03-02 04:00:00,5.404,5.224,5.279,20282.61,106618.73,5.257,multiply,ETH
2018-03-02 05:00:00,5.397,5.155,5.251,62855.58,325970.45,5.186,multiply,BTC
2018-03-02 06:00:00,5.375,5.134,5.165,35614.6,186268.86,5.23,multiply,BTC
2018-03-02 07:00:00,5.252,5.159,5.24,19184.28,99732.43,5.199,multiply,BTC
2018-03-02 08:00:00,5.21,4.982,5.199,53293.89,270053.92,5.067,multiply,BTC
2018-03-02 09:00:00,5.034,4.917,5.057,23080.21,116160.22,5.033,multiply,BTC
2018-03-02 10:00:00,5.047,4.993,5.026,15321.51,77046.14,5.029,multiply,BTC
2018-03-02 11:00:00,5.109,4.988,5.029,25375.64,126847.3,4.999,multiply,BTC
2018-03-02 12:00:00,5.161,5.024,5.019,25999.18,133523.78,5.136,multiply,BTC
2018-03-02 13:00:00,5.144,4.947,5.088,271669.35,1359887.96,5.006,multiply,BTC
2018-03-02 14:00:00,5.061,4.932,5.104,1256.85,6240.38,4.965,divide,BTC
2018-03-02 15:00:00,4.995,4.904,4.918,14113.24,69478.59,4.923,multiply,BTC
2018-03-02 16:00:00,5.049,4.914,4.922,67428.77,337861.12,5.011,multiply,BTC
2018-03-02 17:00:00,5.083,4.93,5.011,26303.17,133148.47,5.062,multiply,BTC
2018-03-02 18:00:00,5.089,4.995,5.061,30823.96,155900.59,5.058,multiply,BTC
2018-03-02 19:00:00,5.091,4.971,4.966,583.36,2918.41,5.003,divide,BTC
2018-03-02 20:00:00,5.146,5.008,4.975,18103.21,92778.1,5.125,multiply,BTC
2018-03-02 21:00:00,5.123,5.029,5.125,18248.29,92944.6,5.093,multiply,BTC
2018-03-02 22:00:00,5.187,5.119,5.093,14843.04,76495.28,5.154,multiply,BTC
2018-03-02 23:00:00,5.305,5.095,5.153,26761.34,137745.92,5.147,multiply,BTC
2018-03-03 00:00:00,5.303,5.164,5.137,22305.05,117073.03,5.249,multiply,BTC
2018-03-03 01:00:00,5.342,5.237,5.249,12934.76,68693.72,5.311,multiply,BTC
2018-03-03 02:00:00,5.452,5.313,5.312,21616.85,117168.07,5.42,multiply,BTC
2018-03-03 03:00:00,5.463,5.383,5.421,902122.32,4895645.36,5.427,multiply,BTC
2018-03-03 04:00:00,5.461,5.363,5.427,19516.77,104884.68,5.374,multiply,BTC
2018-03-03 05:00:00,5.374,5.276,5.372,15756.17,84512.17,5.364,multiply,BTC
2018-03-03 06:00:00,5.431,5.302,5.365,14046.46,74808.84,5.326,multiply,BTC
2018-03-03 07:00:00,5.3,5.151,5.282,1026.95,5440.34,5.298,divide,BTC
2018-03-03 08:00:00,5.349,5.264,5.332,8743.58,46492.59,5.317,multiply,BTC
2018-03-03 09:00:00,5.499,5.307,5.318,21715.08,119163.99,5.488,multiply,BTC
2018-03-03 10:00:00,5.611,5.382,5.486,11736.43,64733.36,5.516,multiply,ETH
2018-03-03 11:00:00,5.586,5.436,5.529,27787.39,151525.27,5.453,multiply,BTC
2018-03-03 12:00:00,5.672,5.469,5.464,44645.41,248826.69,5.573,multiply,BTC
2018-03-03 13:00:00,5.694,5.539,5.574,29896.25,168315.65,5.63,multiply,BTC
2018-03-03 14:00:00,5.669,5.506,5.631,30985.85,174539.0,5.633,multiply,BTC
2018-03-03 15:00:00,5.712,5.54,5.643,52675.3,292543.88,5.554,multiply,BTC
2018-03-03 16:00:00,5.451,5.289,5.47,613.45,3262.54,5.318,divide,BTC
2018-03-03 17:00:00,5.499,5.338,5.317,3068.72,16474.43,5.369,divide,BTC
2018-03-03 18:00:00,5.481,5.349,5.407,17482.49,94047.72,5.38,multiply,BTC
2018-03-03 19:00:00,5.548,5.318,5.38,24883.86,136190.13,5.473,multiply,BTC
2018-03-03 20:00:00,5.426,5.278,5.473,14288.3,76012.36,5.32,multiply,BTC
2018-03-03 21:00:00,5.338,5.197,5.3,799750.31,4172005.07,5.217,multiply,BTC
2018-03-03 22:00:00,5.5,5.259,5.217,23354.15,128451.64,5.5,multiply,BTC
2018-03-03 23:00:00,5.56,5.342,5.5,16255.51,87577.74,5.388,multiply,BTC
2018-03-04 00:00:00,5.289,5.164,5.282,387.82,2023.46,5.217,divide,BTC
2018-03-04 01:00:00,5.326,5.058,5.282,8851.03,45264.16,5.114,multiply,ETH
2018-03-04 02:00:00,5.047,4.857,5.092,461.25,2263.27,4.907,divide,BTC
2018-03-04 03:00:00,5.024,4.885,4.992,1114431.65,5574684.9,5.002,multiply,BTC
2018-03-04 04:00:00,5.058,4.93,5.002,23113.23,115927.88,5.016,multiply,BTC
2018-03-04 05:00:00,5.036,4.898,5.016,17174.08,85023.74,4.951,multiply,BTC
2018-03-04 06:00:00,4.933,4.791,4.953,21149.81,102481.22,4.845,multiply,BTC
2018-03-04 07:00:00,5.04,4.859,4.847,23571.73,117880.83,5.001,multiply,BTC
2018-03-04 08:00:00,5.079,5.005,5.0,15783.83,79619.7,5.044,multiply,BTC
2018-03-04 09:00:00,5.181,5.027,5.044,26557.49,135963.22,5.12,multiply,BTC
2018-03-04 10:00:00,5.13,5.035,5.12,16816.39,86098.07,5.12,multiply,BTC
2018-03-04 11:00:00,5.15,5.053,5.045,305.63,1553.75,5.084,divide,BTC
