time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,8.29,8.167,8.156,14258.81,117189.55,8.219,multiply,BTC
2018-03-01 11:00:00,8.26,8.119,8.219,13511.66,111272.32,8.235,multiply,BTC
2018-03-01 12:00:00,8.192,8.082,8.187,12425.17,101373.96,8.159,multiply,ETH
2018-03-01 13:00:00,8.334,8.238,8.195,12749.53,105245.9,8.255,multiply,BTC
2018-03-01 14:00:00,8.441,8.17,8.257,15453.04,129616.04,8.388,multiply,ETH
2018-03-01 15:00:00,8.437,8.329,8.428,15003.08,125669.39,8.376,multiply,BTC
2018-03-01 16:00:00,8.456,8.379,8.376,14596.67,122560.67,8.396,multiply,BTC
2018-03-01 17:00:00,8.57,8.46,8.396,12383.39,104781.29,8.461,multiply,BTC
2018-03-01 18:00:00,8.526,8.386,8.416,15579.0,131217.09,8.423,multiply,ETH
2018-03-01 19:00:00,8.487,8.266,8.423,14673.56,122513.64,8.349,multiply,ETH
2018-03-01 20:00:00,8.422,8.324,8.349,10500.07,88035.02,8.384,multiply,ETH
2018-03-01 21:00:00,8.383,8.322,8.423,10305.31,86171.65,8.362,multiply,BTC
2018-03-01 22:00:00,8.44,8.291,8.338,10346.04,86858.7,8.395,multiply,ETH
2018-03-01 23:00:00,8.56,8.333,8.41,24168.54,204396.88,8.457,multiply,BTC
2018-03-02 00:00:00,8.426,8.362,8.414,14638.85,122793.09,8.388,multiply,ETH
2018-03-02 01:00:00,8.507,8.269,8.392,17400.37,145232.13,8.346,multiply,BTC
2018-03-02 02:00:00,8.321,8.23,8.346,16406.12,136184.81,8.301,multiply,BTC
2018-03-02 03:00:00,8.345,8.288,8.295,10904.42,90746.12,8.322,multiply,ETH
2018-03-02 04:00:00,8.339,8.271,8.32,16945.12,140878.77,8.314,multiply,ETH
2018-03-02 05:00:00,8.355,8.201,8.333,13775.69,113104.87,8.21,multiply,BTC
2018-03-02 06:00:00,8.298,8.184,8.211,17871.51,146694.44,8.208,multiply,BTC
2018-03-02 07:00:00,8.221,8.101,8.201,15119.92,124049.4,8.204,multiply,BTC
2018-03-02 08:00:00,8.227,8.136,8.187,18384.53,150764.84,8.201,multiply,BTC
2018-03-02 09:00:00,8.17,8.005,8.202,12034.08,98021.5,8.145,multiply,BTC
2018-03-02 10:00:00,8.194,8.119,8.145,12038.7,98048.58,8.144,multiply,BTC
2018-03-02 11:00:00,8.203,8.127,8.144,13400.69,109361.07,8.161,multiply,BTC
2018-03-02 12:00:00,8.227,8.085,8.154,13400.74,109054.47,8.138,multiply,BTC
2018-03-02 13:00:00,8.137,8.014,8.138,15800.0,127477.15,8.068,multiply,BTC
2018-03-02 14:00:00,8.024,7.923,8.068,15192.15,120562.74,7.936,multiply,BTC
2018-03-02 15:00:00,8.0,7.892,7.936,12721.63,101393.41,7.97,multiply,BTC
2018-03-02 16:00:00,8.039,7.945,7.98,16903.37,134605.55,7.963,multiply,ETH
2018-03-02 17:00:00,8.066,7.96,7.971,11993.37,96310.56,8.03,multiply,BTC
2018-03-02 18:00:00,8.141,8.003,8.014,10980.06,88802.59,8.088,multiply,BTC
