time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,2.724,2.675,2.642,3148.31,8498.12,2.699,divide,BTC
2018-03-01 11:00:00,2.729,2.687,2.7,2124.59,5734.27,2.699,divide,BTC
2018-03-01 12:00:00,2.684,2.652,2.668,20524.77,55087.74,2.684,multiply,BTC
2018-03-01 13:00:00,2.72,2.687,2.673,13103.99,35306.13,2.694,multiply,ETH
2018-03-01 14:00:00,2.738,2.673,2.694,9580.21,25869.14,2.7,multiply,ETH
2018-03-01 15:00:00,2.808,2.686,2.7,10737.41,30146.25,2.808,multiply,ETH
2018-03-01 16:00:00,2.815,2.673,2.807,6975.34,18746.53,2.688,multiply,ETH
2018-03-01 17:00:00,2.726,2.682,2.688,15203.54,41439.15,2.726,multiply,ETH
2018-03-01 18:00:00,2.758,2.734,2.714,18444.99,50450.16,2.735,multiply,BTC
2018-03-01 19:00:00,2.738,2.704,2.735,16761.91,45572.3,2.719,multiply,BTC
2018-03-01 20:00:00,2.764,2.737,2.719,15342.76,42095.73,2.744,multiply,BTC
2018-03-01 21:00:00,2.752,2.713,2.744,21309.61,58649.52,2.752,multiply,BTC
2018-03-01 22:00:00,2.819,2.736,2.751,22571.25,62825.42,2.783,multiply,BTC
2018-03-01 23:00:00,2.803,2.74,2.796,13303.02,36891.21,2.773,multiply,ETH
2018-03-02 00:00:00,2.831,2.777,2.764,23371.33,65104.34,2.786,multiply,BTC
2018-03-02 01:00:00,2.85,2.8,2.7,2918.62,8242.72,2.824,divide,BTC
2018-03-02 02:00:00,2.809,2.775,2.809,11135.62,31212.12,2.803,multiply,ETH
2018-03-02 03:00:00,2.832,2.775,2.804,8869.01,24607.67,2.775,multiply,ETH
2018-03-02 04:00:00,2.797,2.738,2.78,13786.24,38175.87,2.769,multiply,BTC
2018-03-02 05:00:00,2.849,2.762,2.765,16383.4,46402.65,2.832,multiply,ETH
2018-03-02 06:00:00,2.87,2.827,2.832,16437.8,47026.28,2.861,multiply,ETH
2018-03-02 07:00:00,2.932,2.847,2.861,25853.59,74869.34,2.896,multiply,ETH
2018-03-02 08:00:00,3.045,2.893,2.896,26778.99,80806.27,3.018,multiply,ETH
2018-03-02 09:00:00,2.991,2.87,3.018,15004.4,43083.67,2.871,multiply,ETH
2018-03-02 10:00:00,2.896,2.83,2.871,8866.38,25638.09,2.892,multiply,ETH
2018-03-02 11:00:00,3.037,2.867,2.892,25553.25,76813.54,3.006,multiply,ETH
2018-03-02 12:00:00,3.078,2.951,3.006,18614.68,55307.94,2.971,multiply,ETH
2018-03-02 13:00:00,3.016,2.932,2.971,14365.87,43332.64,3.016,multiply,ETH
2018-03-02 14:00:00,3.013,2.946,3.016,23766.31,70706.96,2.975,multiply,ETH
2018-03-02 15:00:00,3.061,2.926,2.975,24812.29,74891.78,3.018,multiply,ETH
2018-03-02 16:00:00,3.079,2.955,3.018,28277.69,85102.61,3.01,multiply,ETH
2018-03-02 17:00:00,3.019,2.955,3.01,17696.82,53105.07,3.001,multiply,ETH
2018-03-02 18:00:00,3.128,2.983,3.001,37361.04,116690.67,3.123,multiply,ETH
2018-03-02 19:00:00,3.317,3.063,3.123,83581.16,272890.82,3.265,multiply,ETH
2018-03-02 20:00:00,3.309,3.125,3.168,36079.1,118131.0,3.274,multiply,ETH
2018-03-02 21:00:00,3.357,3.142,3.291,50159.14,158003.21,3.15,multiply,ETH
2018-03-02 22:00:00,3.228,3.112,3.15,19877.31,62173.28,3.128,multiply,ETH
2018-03-02 23:00:00,3.191,3.098,3.128,20398.9,64681.93,3.171,multiply,ETH
2018-03-03 00:00:00,3.209,3.076,3.171,33496.35,103041.02,3.076,multiply,ETH
2018-03-03 01:00:00,3.221,3.065,3.111,23684.12,74178.58,3.132,multiply,ETH
2018-03-03 02:00:00,3.244,3.126,3.152,53158.06,166348.35,3.129,multiply,BTC
2018-03-03 03:00:00,3.153,3.051,3.139,20174.02,62477.21,3.097,multiply,ETH
2018-03-03 04:00:00,3.105,3.03,3.097,13723.3,41579.06,3.03,multiply,ETH
2018-03-03 05:00:00,3.037,2.954,3.03,13449.88,40017.13,2.975,multiply,ETH
2018-03-03 06:00:00,3.224,2.958,2.974,22910.06,70537.59,3.079,multiply,ETH
2018-03-03 07:00:00,3.135,3.037,3.04,1761.08,5440.34,3.089,divide,BTC
2018-03-03 08:00:00,3.23,3.129,3.12,10953.3,34878.33,3.184,multiply,ETH
2018-03-03 09:00:00,3.189,3.12,3.184,14196.01,44689.58,3.148,multiply,ETH
2018-03-03 10:00:00,3.26,3.142,3.148,11265.95,35639.62,3.163,multiply,ETH
2018-03-03 11:00:00,3.287,3.141,3.164,12130.23,39391.63,3.247,multiply,ETH
2018-03-03 12:00:00,3.328,3.208,3.245,10935.53,35632.46,3.258,multiply,ETH
2018-03-03 13:00:00,3.404,3.245,3.263,55132.51,187678.11,3.404,multiply,BTC
2018-03-03 14:00:00,3.445,3.275,3.388,37626.85,126388.29,3.359,multiply,ETH
2018-03-03 15:00:00,3.854,3.361,3.359,44308.75,156617.82,3.535,multiply,ETH
2018-03-03 16:00:00,3.538,3.418,3.535,20774.64,71626.57,3.448,multiply,ETH
2018-03-03 17:00:00,3.799,3.361,3.345,4525.42,16474.43,3.64,divide,BTC
2018-03-03 18:00:00,3.724,3.49,3.675,39898.61,146491.84,3.672,multiply,ETH
2018-03-03 19:00:00,3.803,3.607,3.672,38106.3,138273.87,3.629,multiply,ETH
2018-03-03 20:00:00,3.738,3.587,3.656,22227.72,81334.11,3.659,multiply,ETH
2018-03-03 21:00:00,3.662,3.462,3.659,32487.57,114311.58,3.519,multiply,ETH
2018-03-03 22:00:00,3.572,3.453,3.519,21904.59,77496.76,3.538,multiply,ETH
2018-03-03 23:00:00,3.587,3.448,3.538,12273.33,44023.02,3.587,multiply,ETH
2018-03-04 00:00:00,3.592,3.443,3.587,14736.68,50863.55,3.451,multiply,ETH
2018-03-04 01:00:00,3.487,3.422,3.451,15267.41,52426.1,3.434,multiply,ETH
2018-03-04 02:00:00,3.446,3.322,3.434,13827.34,46568.57,3.368,multiply,ETH
2018-03-04 03:00:00,3.385,3.279,3.345,15093.06,49879.27,3.305,multiply,ETH
2018-03-04 04:00:00,3.569,3.292,3.305,19180.35,67801.57,3.535,multiply,ETH
2018-03-04 05:00:00,3.653,3.508,3.536,30211.98,107325.84,3.552,multiply,ETH
2018-03-04 06:00:00,3.54,3.337,3.552,39196.47,134086.97,3.421,multiply,ETH
2018-03-04 07:00:00,3.572,3.413,3.421,24823.68,86636.31,3.49,multiply,ETH
2018-03-04 08:00:00,3.601,3.42,3.49,18658.65,67189.47,3.601,multiply,ETH
2018-03-04 09:00:00,3.645,3.554,3.559,20690.74,75423.75,3.645,multiply,ETH
2018-03-04 10:00:00,3.63,3.531,3.645,14747.74,52069.89,3.531,multiply,ETH
2018-03-04 11:00:00,3.599,3.507,3.53,11278.2,40093.59,3.555,multiply,ETH
2018-03-04 12:00:00,3.627,3.55,3.541,30639.54,109689.93,3.58,multiply,BTC
2018-03-04 13:00:00,3.633,3.559,3.599,9386.5,33516.45,3.571,multiply,ETH
2018-03-04 14:00:00,3.568,3.522,3.56,13288.25,46809.05,3.523,multiply,ETH
2018-03-04 15:00:00,3.559,3.427,3.526,18064.74,62176.52,3.442,multiply,ETH
2018-03-04 16:00:00,3.499,3.437,3.428,11846.8,41445.63,3.498,multiply,ETH
2018-03-04 17:00:00,3.527,3.413,3.498,9577.92,33153.14,3.461,multiply,ETH
2018-03-04 18:00:00,3.56,3.475,3.466,22687.24,79688.27,3.512,multiply,BTC
2018-03-04 19:00:00,3.551,3.475,3.512,16061.55,56648.02,3.527,multiply,BTC
2018-03-04 20:00:00,3.559,3.46,3.527,29474.31,103160.99,3.5,multiply,BTC
2018-03-04 21:00:00,3.524,3.422,3.478,10523.59,36810.51,3.498,multiply,ETH
2018-03-04 22:00:00,3.619,3.5,3.532,14071.08,49458.0,3.515,multiply,ETH
2018-03-04 23:00:00,3.566,3.48,3.528,26908.98,94171.87,3.5,multiply,BTC
