time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,19.55,19.05,19.16,445.75,8498.12,19.06,divide,BTC
2018-03-01 11:00:00,19.44,19.07,19.07,297.11,5734.27,19.3,divide,BTC
2018-03-01 12:00:00,19.3,18.78,19.1,24004.47,458351.43,18.8,direct,
2018-03-01 13:00:00,19.11,18.73,18.85,77327.31,1466136.27,18.96,multiply,BTC
2018-03-01 14:00:00,19.16,18.84,18.99,47883.75,916019.44,19.13,multiply,BTC
2018-03-01 15:00:00,19.36,19.01,19.14,39987.82,762395.05,19.07,multiply,BTC
2018-03-01 16:00:00,19.44,19.06,19.07,79194.45,1535363.45,19.39,multiply,BTC
2018-03-01 17:00:00,19.85,19.33,19.42,26104.13,513427.56,19.81,direct,
2018-03-01 18:00:00,19.96,19.71,19.81,31516.03,625047.38,19.75,direct,
2018-03-01 19:00:00,19.79,19.58,19.8,38818.8,761248.64,19.61,multiply,BTC
2018-03-01 20:00:00,19.88,19.56,19.61,51219.46,1002169.27,19.57,multiply,BTC
2018-03-01 21:00:00,19.38,19.13,19.57,45248.11,867381.73,19.17,multiply,BTC
2018-03-01 22:00:00,19.5,19.22,19.16,34717.77,669652.52,19.29,multiply,BTC
2018-03-01 23:00:00,19.31,19.07,19.29,42655.24,815374.88,19.12,multiply,BTC
2018-03-02 00:00:00,19.41,19.02,19.12,51281.57,978783.18,19.09,multiply,BTC
2018-03-02 01:00:00,19.34,18.8,19.09,97218.12,1833944.14,18.86,multiply,BTC
2018-03-02 02:00:00,19.01,18.59,18.86,53945.39,1023543.47,18.97,multiply,BTC
2018-03-02 03:00:00,19.22,18.82,18.95,30068.21,573025.22,18.89,direct,
2018-03-02 04:00:00,18.9,18.49,18.89,25827.96,480612.46,18.6,direct,
2018-03-02 05:00:00,18.65,18.3,18.6,45170.48,831865.17,18.48,direct,
2018-03-02 06:00:00,18.65,18.44,18.48,20806.64,385443.89,18.56,direct,
2018-03-02 07:00:00,18.63,18.42,18.56,20136.82,372831.24,18.53,direct,
2018-03-02 08:00:00,18.77,18.48,18.53,14589.03,271892.54,18.72,direct,
2018-03-02 09:00:00,18.78,18.26,18.72,22903.36,423161.16,18.31,direct,
2018-03-02 10:00:00,18.53,18.3,18.37,26651.53,488513.42,18.33,multiply,BTC
2018-03-02 11:00:00,18.3,18.0,18.29,23304.18,421990.79,18.19,direct,
2018-03-02 12:00:00,18.41,18.23,18.23,34917.35,637145.69,18.25,multiply,BTC
2018-03-02 13:00:00,18.21,18.07,18.24,29493.98,532945.43,18.07,multiply,BTC
2018-03-02 14:00:00,18.16,17.78,18.02,45765.73,818480.29,17.81,direct,
2018-03-02 15:00:00,17.92,17.71,17.82,39273.33,695682.99,17.71,multiply,BTC
2018-03-02 16:00:00,18.12,17.72,17.71,34404.16,623494.8,18.12,multiply,BTC
2018-03-02 17:00:00,18.41,17.99,18.11,26123.66,475883.26,18.41,direct,
