time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,45.6,44.96,44.99,4965.5,224440.01,45.2,multiply,BTC
2018-03-01 11:00:00,45.05,44.74,45.2,1079.24,48287.47,44.74,multiply,BTC
2018-03-01 12:00:00,45.07,44.58,44.73,1126.28,50561.51,44.89,multiply,BTC
2018-03-01 13:00:00,45.6,45.19,44.89,1276.48,58041.31,45.47,multiply,BTC
2018-03-01 14:00:00,46.02,45.36,45.59,2170.05,99027.27,45.63,multiply,BTC
2018-03-01 15:00:00,45.79,45.33,45.64,1504.63,68673.96,45.64,multiply,BTC
2018-03-01 16:00:00,46.31,45.53,45.64,1134.75,52501.21,46.27,multiply,BTC
2018-03-01 17:00:00,46.6,45.95,45.95,195.64,9005.12,46.5,direct,
2018-03-01 18:00:00,46.94,46.41,46.5,462.85,21661.39,46.67,direct,
2018-03-01 19:00:00,46.88,46.14,46.67,480.64,22442.71,46.14,direct,
2018-03-01 20:00:00,46.84,46.56,45.99,1517.73,70851.4,46.68,multiply,BTC
2018-03-01 21:00:00,46.91,46.23,46.68,1059.76,49714.38,46.91,multiply,BTC
2018-03-01 22:00:00,47.55,46.91,46.9,1493.84,70426.64,47.14,multiply,BTC
2018-03-01 23:00:00,47.25,46.85,47.16,749.1,35172.17,46.95,multiply,BTC
2018-03-02 00:00:00,47.89,47.29,46.95,3704.82,177107.04,47.8,multiply,BTC
2018-03-02 01:00:00,48.36,47.7,47.8,714.05,34221.29,47.93,multiply,BTC
2018-03-02 02:00:00,47.59,47.15,47.93,1233.91,58399.9,47.33,multiply,BTC
2018-03-02 03:00:00,47.77,47.32,47.33,1658.38,78619.64,47.41,multiply,BTC
2018-03-02 04:00:00,47.13,46.64,46.93,1244.4,58389.15,46.66,direct,
2018-03-02 05:00:00,47.3,46.35,47.14,858.49,39901.15,46.48,multiply,BTC
2018-03-02 06:00:00,47.02,45.94,46.3,1818.51,83825.75,46.1,multiply,BTC
2018-03-02 07:00:00,46.2,45.89,46.09,656.7,30260.4,46.08,multiply,BTC
2018-03-02 08:00:00,46.22,45.81,46.08,951.33,43591.07,45.82,multiply,BTC
2018-03-02 09:00:00,46.14,45.31,46.14,726.23,33296.51,45.84,direct,
2018-03-02 10:00:00,45.93,45.43,45.66,633.93,28806.64,45.44,multiply,BTC
2018-03-02 11:00:00,45.56,45.29,45.44,595.06,27060.51,45.48,multiply,BTC
2018-03-02 12:00:00,45.94,45.37,45.48,593.68,26948.39,45.39,multiply,BTC
2018-03-02 13:00:00,45.67,45.1,45.39,1291.92,58708.99,45.44,multiply,BTC
2018-03-02 14:00:00,45.74,44.9,45.34,1856.28,84408.34,45.47,multiply,ETH
2018-03-02 15:00:00,45.7,45.12,45.3,804.72,36703.7,45.61,multiply,BTC
2018-03-02 16:00:00,45.4,44.65,45.4,1053.36,47173.73,45.32,direct,
2018-03-02 17:00:00,45.72,45.13,45.06,487.49,22074.73,45.28,multiply,BTC
2018-03-02 18:00:00,45.72,45.22,45.28,244.4,11091.39,45.38,multiply,BTC
2018-03-02 19:00:00,45.58,45.17,45.38,318.87,14517.36,45.53,multiply,BTC
2018-03-02 20:00:00,46.17,45.36,45.53,1300.16,59244.97,45.57,multiply,BTC
2018-03-02 21:00:00,45.46,45.03,45.57,993.34,44984.74,45.29,multiply,BTC
2018-03-02 22:00:00,45.76,45.55,45.31,292.09,13314.16,45.58,multiply,BTC
2018-03-02 23:00:00,45.24,45.01,45.58,355.95,16045.52,45.08,multiply,BTC
2018-03-03 00:00:00,45.39,45.14,45.07,415.04,18812.46,45.33,multiply,BTC
2018-03-03 01:00:00,49.19,45.84,45.33,12138.67,592562.23,48.82,multiply,BTC
2018-03-03 02:00:00,49.72,47.83,48.82,2948.57,141044.24,47.83,multiply,BTC
2018-03-03 03:00:00,48.16,47.22,47.86,875.88,41479.99,47.33,direct,
2018-03-03 04:00:00,47.68,47.22,47.33,555.65,26376.41,47.68,direct,
2018-03-03 05:00:00,48.35,47.4,47.59,1403.56,67576.77,48.15,multiply,BTC
2018-03-03 06:00:00,48.17,47.3,48.15,502.99,23842.28,47.4,multiply,BTC
2018-03-03 07:00:00,47.41,46.87,47.41,278.01,13107.19,47.15,multiply,BTC
2018-03-03 08:00:00,47.56,47.06,47.15,512.49,24165.4,47.15,multiply,BTC
2018-03-03 09:00:00,47.39,46.96,47.15,425.29,20126.19,47.32,multiply,BTC
2018-03-03 10:00:00,47.31,46.69,47.26,608.59,28702.97,47.16,multiply,ETH
2018-03-03 11:00:00,46.99,46.52,46.99,752.52,35197.21,46.77,multiply,BTC
2018-03-03 12:00:00,47.44,46.72,46.77,1008.87,47265.91,46.85,multiply,BTC
2018-03-03 13:00:00,47.46,46.9,46.85,198.2,9386.71,47.36,multiply,BTC
2018-03-03 14:00:00,47.6,47.0,47.24,339.07,16017.59,47.54,direct,
2018-03-03 15:00:00,47.54,46.91,47.54,608.64,28841.77,47.34,direct,
2018-03-03 16:00:00,47.57,46.96,47.34,232.15,10978.46,47.48,direct,
2018-03-03 17:00:00,47.6,47.19,47.48,704.32,33301.45,47.31,direct,
2018-03-03 18:00:00,47.76,46.85,47.31,133.71,6370.17,47.75,direct,
2018-03-03 19:00:00,47.46,47.02,47.05,242.14,11402.51,47.09,multiply,BTC
2018-03-03 20:00:00,47.84,46.86,47.74,1133.49,53138.47,47.08,direct,
2018-03-03 21:00:00,47.5,46.9,47.08,573.15,26911.91,47.15,direct,
2018-03-03 22:00:00,47.5,47.06,47.06,203.7,9565.82,47.5,direct,
2018-03-03 23:00:00,47.86,47.32,47.62,122.51,5798.28,47.33,multiply,BTC
2018-03-04 00:00:00,47.45,46.76,47.33,651.74,30914.55,47.43,multiply,BTC
2018-03-04 01:00:00,47.74,47.11,47.43,315.18,14879.79,47.21,multiply,BTC
2018-03-04 02:00:00,47.53,46.8,47.21,264.27,12426.85,47.02,multiply,BTC
2018-03-04 03:00:00,47.23,46.16,47.23,302.92,14042.94,46.36,direct,
2018-03-04 04:00:00,46.61,46.32,46.44,209.93,9732.64,46.36,multiply,BTC
2018-03-04 05:00:00,46.57,46.26,46.37,145.17,6727.36,46.34,multiply,BTC
2018-03-04 06:00:00,46.38,45.99,46.01,180.93,8302.21,46.02,direct,
2018-03-04 07:00:00,46.17,45.61,46.02,687.15,31338.18,45.61,direct,
2018-03-04 08:00:00,46.76,46.19,46.11,331.14,15330.28,46.3,multiply,BTC
2018-03-04 09:00:00,46.73,45.19,46.28,5140.19,233421.68,45.41,multiply,BTC
2018-03-04 10:00:00,45.77,44.72,45.77,1417.84,63370.35,44.85,direct,
2018-03-04 11:00:00,45.62,45.24,45.13,270.14,12305.62,45.55,multiply,ETH
2018-03-04 12:00:00,45.49,44.82,45.43,924.66,41625.91,45.2,direct,
2018-03-04 13:00:00,45.42,44.9,45.2,300.6,13529.2,45.27,direct,
2018-03-04 14:00:00,45.27,44.93,45.27,583.1,26291.02,45.22,direct,
2018-03-04 15:00:00,45.36,44.91,45.22,243.06,11003.67,45.36,direct,
2018-03-04 16:00:00,45.65,44.97,45.35,2573.45,116503.79,45.27,multiply,BTC
2018-03-04 17:00:00,45.34,44.79,45.27,1975.15,89067.66,45.09,multiply,BTC
2018-03-04 18:00:00,45.48,44.9,44.95,538.57,24305.71,45.45,direct,
2018-03-04 19:00:00,46.28,45.47,45.51,1093.41,50464.11,46.15,multiply,BTC
2018-03-04 20:00:00,46.85,46.31,46.16,880.53,40869.31,46.41,multiply,BTC
2018-03-04 21:00:00,46.4,45.97,46.56,1277.8,58950.61,46.13,multiply,BTC
2018-03-04 22:00:00,46.33,45.94,46.13,486.91,22481.87,46.17,multiply,BTC
2018-03-04 23:00:00,46.78,46.33,46.17,515.33,23904.01,46.39,multiply,BTC
2018-03-05 00:00:00,46.81,46.29,46.38,341.52,15949.59,46.7,multiply,BTC
2018-03-05 01:00:00,46.87,46.2,46.7,794.57,36770.68,46.28,multiply,BTC
2018-03-05 02:00:00,46.67,46.41,46.28,569.94,26475.49,46.45,multiply,BTC
2018-03-05 03:00:00,46.79,46.43,46.69,421.79,19597.16,46.43,direct,
2018-03-05 04:00:00,46.75,46.35,46.6,567.43,26366.33,46.47,multiply,BTC
2018-03-05 05:00:00,47.01,46.49,46.48,335.73,15768.41,46.97,multiply,BTC
2018-03-05 06:00:00,47.07,46.68,46.97,330.76,15440.1,46.68,multiply,BTC
2018-03-05 07:00:00,46.88,46.53,46.73,493.54,23110.81,46.83,multiply,BTC
2018-03-05 08:00:00,46.56,46.09,46.83,562.47,25925.67,46.09,multiply,BTC
2018-03-05 09:00:00,46.37,45.9,46.21,763.28,35074.64,46.19,direct,
2018-03-05 10:00:00,46.48,46.23,46.15,2623.09,121428.21,46.29,multiply,BTC
2018-03-05 11:00:00,46.28,45.95,46.0,555.6,25658.88,46.28,direct,
2018-03-05 12:00:00,46.7,46.28,46.28,382.22,17826.69,46.66,direct,
2018-03-05 13:00:00,46.55,46.33,46.57,406.95,18871.58,46.37,multiply,BTC
2018-03-05 14:00:00,46.56,46.25,46.37,643.15,29942.1,46.56,multiply,BTC
2018-03-05 15:00:00,46.81,46.38,46.56,596.9,27792.58,46.38,direct,
2018-03-05 16:00:00,46.58,46.26,46.53,2848.99,132280.11,46.43,multiply,BTC
2018-03-05 17:00:00,46.38,46.11,46.43,1578.89,73099.21,46.3,multiply,BTC
2018-03-05 18:00:00,46.54,46.2,46.33,1195.93,55642.81,46.54,direct,
2018-03-05 19:00:00,46.79,46.58,46.73,621.26,29002.01,46.68,multiply,BTC
2018-03-05 20:00:00,46.7,46.47,46.68,1566.83,72876.06,46.51,multiply,BTC
2018-03-05 21:00:00,46.8,46.37,46.51,286.16,13356.84,46.68,multiply,BTC
2018-03-05 22:00:00,46.68,46.29,46.6,1205.45,55844.76,46.57,direct,
2018-03-05 23:00:00,46.57,46.03,46.57,582.15,26811.82,46.25,direct,
2018-03-06 00:00:00,46.25,45.53,46.25,623.26,28475.92,45.9,direct,
2018-03-06 01:00:00,46.13,45.58,45.64,491.7,22683.16,46.13,multiply,BTC
2018-03-06 02:00:00,46.49,45.4,45.9,227.41,10341.28,45.4,direct,
2018-03-06 03:00:00,45.84,45.21,45.84,656.82,29743.25,45.23,direct,
2018-03-06 04:00:00,45.98,45.22,45.23,800.9,36238.55,45.94,direct,
2018-03-06 05:00:00,46.09,45.41,45.86,285.96,13026.35,45.55,multiply,ETH
2018-03-06 06:00:00,45.7,45.46,45.6,230.94,10525.7,45.58,multiply,BTC
2018-03-06 07:00:00,45.97,45.89,45.92,200.59,9218.3,45.93,direct,
2018-03-06 08:00:00,46.04,45.61,45.69,248.17,11425.1,46.04,multiply,BTC
2018-03-06 09:00:00,46.29,45.83,46.03,86.11,3969.57,46.2,direct,
2018-03-06 10:00:00,45.38,44.52,45.91,1010.68,45555.67,45.07,multiply,BTC
2018-03-06 11:00:00,45.21,44.38,45.12,665.21,29807.08,44.52,direct,
2018-03-06 12:00:00,44.81,44.41,44.72,309.59,13760.29,44.45,multiply,BTC
2018-03-06 13:00:00,44.4,43.62,44.68,667.38,29110.45,43.62,multiply,ETH
2018-03-06 14:00:00,44.39,43.47,43.72,1990.19,88400.98,44.39,direct,
2018-03-06 15:00:00,44.41,44.01,44.44,455.24,20113.93,44.18,multiply,BTC
2018-03-06 16:00:00,44.37,44.02,44.18,256.72,11334.93,44.15,multiply,BTC
2018-03-06 17:00:00,44.08,43.43,44.16,622.69,27415.96,44.03,multiply,BTC
2018-03-06 18:00:00,43.84,43.46,43.81,501.35,21805.05,43.49,multiply,ETH
2018-03-06 19:00:00,43.75,42.74,43.53,402.25,17265.66,42.94,direct,
2018-03-06 20:00:00,43.34,42.89,43.21,265.82,11438.32,43.03,multiply,BTC
2018-03-06 21:00:00,43.9,43.46,43.02,314.47,13666.02,43.46,multiply,BTC
2018-03-06 22:00:00,43.85,43.36,43.45,590.5,25809.57,43.71,multiply,BTC
2018-03-06 23:00:00,43.68,43.23,43.71,599.53,25918.68,43.23,multiply,BTC
2018-03-07 00:00:00,44.05,43.73,43.32,338.86,14837.28,43.79,multiply,BTC
2018-03-07 01:00:00,43.8,43.67,43.79,354.94,15515.94,43.71,multiply,BTC
2018-03-07 02:00:00,43.43,43.34,43.71,310.94,13476.86,43.34,multiply,BTC
2018-03-07 03:00:00,43.27,43.11,43.34,188.27,8139.67,43.23,multiply,BTC
2018-03-07 04:00:00,43.6,43.31,43.23,179.63,7791.56,43.38,multiply,BTC
2018-03-07 05:00:00,43.16,42.78,43.38,766.92,32926.06,42.93,multiply,BTC
2018-03-07 06:00:00,42.56,42.15,43.01,623.17,26494.99,42.52,multiply,BTC
2018-03-07 07:00:00,42.61,41.88,42.61,693.84,29151.27,42.09,direct,
2018-03-07 08:00:00,42.53,41.92,42.09,185.67,7918.18,42.43,direct,
2018-03-07 09:00:00,42.17,41.89,42.33,503.68,21182.5,42.06,multiply,BTC
2018-03-07 10:00:00,42.07,41.48,41.98,551.22,22955.58,41.48,direct,
2018-03-07 11:00:00,42.5,42.33,41.9,253.91,10785.88,42.48,multiply,BTC
2018-03-07 12:00:00,42.46,42.04,42.4,544.12,22872.66,42.04,multiply,BTC
2018-03-07 13:00:00,42.68,41.89,42.53,250.95,10591.66,41.89,direct,
2018-03-07 14:00:00,42.38,41.72,41.89,294.62,12335.74,41.75,direct,
2018-03-07 15:00:00,42.53,41.83,42.06,321.19,13632.19,42.44,multiply,BTC
2018-03-07 16:00:00,42.11,38.93,41.68,1902.06,76487.93,38.93,direct,
2018-03-07 17:00:00,39.25,38.17,39.16,2032.36,78613.88,38.68,multiply,BTC
2018-03-07 18:00:00,39.33,38.4,38.65,904.21,34828.12,38.52,multiply,ETH
2018-03-07 19:00:00,38.77,37.96,38.34,2153.07,81002.15,38.53,direct,
2018-03-07 20:00:00,38.88,38.28,38.71,3251.4,124917.36,38.42,multiply,BTC
2018-03-07 21:00:00,39.48,38.99,38.42,2089.05,81823.61,39.17,multiply,BTC
2018-03-07 22:00:00,40.06,38.95,39.17,1710.93,68381.56,39.97,multiply,BTC
2018-03-07 23:00:00,39.89,38.92,39.98,4053.42,158644.31,39.14,multiply,BTC
2018-03-08 00:00:00,39.6,38.98,39.14,864.4,33746.92,39.04,multiply,BTC
2018-03-08 01:00:00,39.52,38.63,39.45,327.11,12817.69,38.91,direct,
2018-03-08 02:00:00,38.95,37.97,38.91,651.4,24952.61,38.2,direct,
2018-03-08 03:00:00,38.58,38.03,38.2,1449.26,55363.8,38.06,direct,
2018-03-08 04:00:00,39.36,38.91,38.21,714.52,27956.83,39.13,multiply,BTC
2018-03-08 05:00:00,39.28,38.56,39.12,512.51,19803.17,38.64,multiply,BTC
2018-03-08 06:00:00,39.12,38.3,38.64,872.09,34089.8,39.09,multiply,BTC
2018-03-08 07:00:00,40.42,38.86,38.91,875.62,35392.65,40.36,direct,
2018-03-08 08:00:00,40.7,40.11,40.66,2277.12,91402.48,40.14,multiply,BTC
2018-03-08 09:00:00,41.29,40.52,40.1,2330.46,96036.59,41.21,multiply,BTC
2018-03-08 10:00:00,41.2,40.72,41.21,2760.54,113540.84,41.13,multiply,BTC
2018-03-08 11:00:00,40.86,40.34,41.13,423.7,17213.92,40.63,multiply,BTC
2018-03-08 12:00:00,40.38,39.01,39.82,518.39,20625.03,39.47,direct,
2018-03-08 13:00:00,40.11,39.8,39.49,264.54,10549.29,39.88,multiply,ETH
2018-03-08 14:00:00,39.86,39.44,39.88,946.85,37452.89,39.56,multiply,ETH
2018-03-08 15:00:00,40.67,40.29,39.89,452.53,18340.97,40.53,multiply,BTC
2018-03-08 16:00:00,39.38,38.64,40.73,2935.94,115299.3,39.27,multiply,BTC
