time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,5.294,5.106,5.111,1613.16,8498.12,5.268,divide,BTC
2018-03-01 11:00:00,5.293,5.15,5.253,118148.95,612142.2,5.181,multiply,ETH
2018-03-01 12:00:00,5.17,4.963,5.181,111165.78,562426.21,5.059,multiply,ETH
2018-03-01 13:00:00,5.104,4.927,5.058,125398.9,623428.12,4.972,multiply,ETH
2018-03-01 14:00:00,5.081,4.939,4.972,113355.55,563147.5,4.968,multiply,ETH
2018-03-01 15:00:00,5.034,4.901,4.968,110641.73,543924.97,4.916,multiply,ETH
2018-03-01 16:00:00,4.983,4.907,4.916,104644.15,520027.62,4.969,multiply,ETH
2018-03-01 17:00:00,5.221,5.003,4.969,198979.68,1020442.42,5.128,multiply,ETH
2018-03-01 18:00:00,5.176,5.094,5.128,69316.88,355735.19,5.132,multiply,ETH
2018-03-01 19:00:00,5.114,5.045,5.132,72359.78,366476.68,5.065,multiply,ETH
2018-03-01 20:00:00,5.15,5.068,5.065,64099.58,327295.08,5.106,multiply,ETH
2018-03-01 21:00:00,5.087,4.982,5.106,93110.44,465618.98,5.001,multiply,ETH
2018-03-01 22:00:00,5.087,4.988,5.001,69836.47,350113.74,5.013,multiply,ETH
2018-03-01 23:00:00,5.037,4.91,5.013,83105.2,410105.26,4.935,multiply,ETH
2018-03-02 00:00:00,5.053,4.907,4.935,69913.92,346436.13,4.955,multiply,ETH
2018-03-02 01:00:00,5.045,4.902,4.955,84559.15,416626.95,4.927,multiply,ETH
2018-03-02 02:00:00,4.959,4.849,4.927,121813.71,592241.96,4.862,multiply,ETH
2018-03-02 03:00:00,4.897,4.801,4.862,75610.8,363151.74,4.803,multiply,ETH
2018-03-02 04:00:00,4.801,4.727,4.803,116942.79,555668.66,4.752,multiply,ETH
2018-03-02 05:00:00,4.874,4.718,4.752,100598.35,476040.73,4.732,multiply,ETH
2018-03-02 06:00:00,4.775,4.735,4.732,63578.37,302870.88,4.764,multiply,ETH
2018-03-02 07:00:00,4.867,4.727,4.764,79992.36,386407.47,4.831,multiply,ETH
2018-03-02 08:00:00,4.864,4.769,4.831,71311.36,343275.33,4.814,multiply,ETH
2018-03-02 09:00:00,4.806,4.688,4.814,101324.02,481025.32,4.747,multiply,ETH
2018-03-02 10:00:00,4.813,4.734,4.747,84040.57,401353.9,4.776,multiply,ETH
2018-03-02 11:00:00,4.78,4.708,4.776,71976.87,340159.57,4.726,multiply,ETH
2018-03-02 12:00:00,4.819,4.604,4.726,164236.83,771465.85,4.697,multiply,ETH
2018-03-02 13:00:00,4.707,4.617,4.697,72856.5,340008.3,4.667,multiply,ETH
2018-03-02 14:00:00,4.647,4.567,4.667,75840.05,346541.96,4.569,multiply,ETH
2018-03-02 15:00:00,4.64,4.572,4.569,147793.44,682589.68,4.619,multiply,ETH
2018-03-02 16:00:00,4.698,4.595,4.618,89723.61,420202.66,4.683,multiply,ETH
2018-03-02 17:00:00,4.748,4.631,4.683,74636.33,348036.52,4.663,multiply,ETH
2018-03-02 18:00:00,4.679,4.617,4.663,88071.2,408956.37,4.643,multiply,ETH
2018-03-02 19:00:00,4.651,4.601,4.643,52895.49,244988.51,4.632,multiply,ETH
2018-03-02 20:00:00,4.701,4.595,4.632,97900.31,452730.17,4.624,multiply,ETH
2018-03-02 21:00:00,4.643,4.55,4.624,169282.72,774972.15,4.578,multiply,ETH
2018-03-02 22:00:00,4.614,4.538,4.578,143187.19,650885.58,4.546,multiply,ETH
2018-03-02 23:00:00,4.587,4.501,4.546,108380.95,488598.27,4.508,multiply,ETH
2018-03-03 00:00:00,4.542,4.471,4.508,126450.8,565659.9,4.473,multiply,ETH
2018-03-03 01:00:00,4.595,4.506,4.473,106406.31,487687.96,4.583,multiply,ETH
2018-03-03 02:00:00,4.672,4.557,4.583,125693.13,574753.64,4.573,multiply,ETH
2018-03-03 03:00:00,4.566,4.435,4.573,176230.68,784707.7,4.453,multiply,ETH
2018-03-03 04:00:00,4.499,4.4,4.453,217934.77,960696.17,4.408,multiply,ETH
2018-03-03 05:00:00,4.48,4.371,4.408,83838.32,373693.1,4.457,multiply,ETH
2018-03-03 06:00:00,4.466,4.4,4.457,107779.79,478459.48,4.439,multiply,ETH
2018-03-03 07:00:00,4.572,4.395,4.403,1190.82,5440.34,4.569,divide,BTC
2018-03-03 08:00:00,4.615,4.475,4.598,97964.42,442148.48,4.513,multiply,ETH
2018-03-03 09:00:00,4.647,4.482,4.513,178981.96,827184.17,4.622,multiply,ETH
2018-03-03 10:00:00,4.734,4.609,4.622,94183.2,435904.71,4.628,multiply,ETH
2018-03-03 11:00:00,4.634,4.57,4.628,134983.59,619250.94,4.588,multiply,ETH
2018-03-03 12:00:00,4.637,4.574,4.588,61298.88,280630.98,4.578,multiply,ETH
2018-03-03 13:00:00,4.64,4.498,4.589,258157.12,1182977.03,4.582,multiply,BTC
2018-03-03 14:00:00,4.566,4.505,4.578,65713.07,298607.63,4.544,multiply,ETH
2018-03-03 15:00:00,4.564,4.483,4.544,126819.79,570583.82,4.499,multiply,ETH
2018-03-03 16:00:00,4.523,4.48,4.499,85376.86,384010.48,4.498,multiply,ETH
2018-03-03 17:00:00,4.491,4.409,4.364,3728.4,16474.43,4.419,divide,BTC
2018-03-03 18:00:00,4.47,4.416,4.447,62424.99,276448.01,4.428,multiply,ETH
2018-03-03 19:00:00,4.485,4.405,4.428,72993.36,324443.93,4.445,multiply,ETH
2018-03-03 20:00:00,4.42,4.359,4.445,68826.76,300558.21,4.367,multiply,ETH
2018-03-03 21:00:00,4.465,4.358,4.367,93298.17,414616.55,4.444,multiply,ETH
2018-03-03 22:00:00,4.519,4.401,4.444,66779.04,299871.74,4.491,multiply,ETH
2018-03-03 23:00:00,4.496,4.421,4.491,53549.23,237069.57,4.427,multiply,ETH
2018-03-04 00:00:00,4.44,4.396,4.427,51417.21,227455.38,4.424,multiply,ETH
2018-03-04 01:00:00,4.447,4.406,4.424,39984.15,176806.89,4.422,multiply,ETH
2018-03-04 02:00:00,4.441,4.372,4.422,44599.88,197288.05,4.424,multiply,ETH
2018-03-04 03:00:00,4.416,4.38,4.424,69342.33,305959.69,4.412,multiply,ETH
2018-03-04 04:00:00,4.545,4.416,4.412,142964.92,647999.04,4.533,multiply,ETH
2018-03-04 05:00:00,4.539,4.437,4.533,66113.68,297165.7,4.495,multiply,ETH
2018-03-04 06:00:00,4.493,4.422,4.495,61371.59,272236.15,4.436,multiply,ETH
2018-03-04 07:00:00,4.433,4.399,4.436,116502.07,514961.39,4.42,multiply,ETH
2018-03-04 08:00:00,4.497,4.448,4.42,45633.93,204848.08,4.489,multiply,ETH
2018-03-04 09:00:00,4.516,4.482,4.489,41449.06,186728.2,4.505,multiply,ETH
2018-03-04 10:00:00,4.546,4.485,4.505,79016.3,356782.89,4.515,multiply,ETH
2018-03-04 11:00:00,4.603,4.526,4.515,80487.16,367460.56,4.565,multiply,ETH
2018-03-04 12:00:00,4.654,4.526,4.569,266933.14,1209817.53,4.532,multiply,BTC
2018-03-04 13:00:00,4.603,4.531,4.536,56507.82,257904.19,4.564,multiply,ETH
2018-03-04 14:00:00,4.694,4.524,4.564,150291.32,695176.77,4.626,multiply,ETH
2018-03-04 15:00:00,4.875,4.636,4.626,229102.62,1100112.93,4.802,multiply,ETH
2018-03-04 16:00:00,4.832,4.646,4.802,155773.77,729702.31,4.684,multiply,ETH
2018-03-04 17:00:00,4.787,4.659,4.684,99925.82,470581.93,4.709,multiply,ETH
2018-03-04 18:00:00,4.827,4.697,4.709,102306.19,483145.58,4.723,multiply,ETH
2018-03-04 19:00:00,4.724,4.649,4.723,81307.33,381438.04,4.691,multiply,ETH
2018-03-04 20:00:00,4.707,4.59,4.691,72618.49,335198.56,4.616,multiply,ETH
2018-03-04 21:00:00,4.654,4.574,4.616,61175.08,282512.45,4.618,multiply,ETH
2018-03-04 22:00:00,4.644,4.514,4.618,110675.49,503289.84,4.547,multiply,ETH
2018-03-04 23:00:00,4.585,4.514,4.547,76932.72,350898.86,4.561,multiply,ETH
2018-03-05 00:00:00,4.64,4.55,4.562,74939.92,346712.86,4.627,multiply,ETH
2018-03-05 01:00:00,4.627,4.581,4.627,46454.08,213524.65,4.596,multiply,ETH
2018-03-05 02:00:00,4.636,4.603,4.596,48233.96,223089.64,4.625,multiply,ETH
2018-03-05 03:00:00,4.635,4.583,4.625,51188.13,236038.74,4.611,multiply,ETH
2018-03-05 04:00:00,4.631,4.573,4.611,45319.54,208102.94,4.592,multiply,ETH
2018-03-05 05:00:00,4.642,4.567,4.592,70720.96,326951.05,4.623,multiply,ETH
2018-03-05 06:00:00,4.659,4.595,4.624,81697.45,378787.46,4.636,multiply,ETH
2018-03-05 07:00:00,4.691,4.61,4.636,79990.68,372853.32,4.661,multiply,ETH
2018-03-05 08:00:00,4.795,4.638,4.661,135481.49,643383.12,4.749,multiply,ETH
2018-03-05 09:00:00,4.826,4.673,4.749,101252.55,476792.88,4.709,multiply,ETH
2018-03-05 10:00:00,4.77,4.681,4.724,121539.75,574374.29,4.726,multiply,BTC
2018-03-05 11:00:00,4.748,4.673,4.712,1389.08,6536.86,4.706,divide,BTC
2018-03-05 12:00:00,4.77,4.687,4.738,67851.61,322397.07,4.752,multiply,ETH
2018-03-05 13:00:00,4.767,4.722,4.752,88434.06,418341.93,4.731,multiply,ETH
2018-03-05 14:00:00,4.718,4.639,4.731,86828.11,405000.26,4.664,multiply,ETH
2018-03-05 15:00:00,4.669,4.627,4.664,101174.16,470546.52,4.651,multiply,ETH
2018-03-05 16:00:00,4.722,4.631,4.651,66873.69,314820.99,4.708,multiply,ETH
2018-03-05 17:00:00,4.712,4.644,4.708,84073.48,391589.67,4.658,multiply,ETH
2018-03-05 18:00:00,4.72,4.665,4.658,50407.9,235315.85,4.668,multiply,ETH
2018-03-05 19:00:00,4.661,4.613,4.668,63700.46,294370.68,4.621,multiply,ETH
2018-03-05 20:00:00,4.713,4.604,4.621,98910.84,462913.19,4.68,multiply,ETH
2018-03-05 21:00:00,4.682,4.639,4.68,44319.1,206824.68,4.667,multiply,ETH
2018-03-05 22:00:00,4.674,4.628,4.667,32236.12,150101.58,4.656,multiply,ETH
2018-03-05 23:00:00,4.691,4.606,4.656,79913.92,374021.46,4.68,multiply,ETH
2018-03-06 00:00:00,4.648,4.558,4.681,108712.51,500444.78,4.603,multiply,ETH
2018-03-06 01:00:00,4.635,4.567,4.604,60993.67,280111.88,4.592,multiply,ETH
