time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,19.72,18.83,19.31,26837.89,511479.7,19.06,multiply,BTC
2018-03-01 11:00:00,19.22,18.84,19.03,13004.75,249348.72,19.17,multiply,BTC
2018-03-01 12:00:00,19.65,19.02,19.17,16641.89,319044.5,19.17,multiply,BTC
2018-03-01 13:00:00,19.49,19.14,19.17,13938.15,269079.57,19.31,multiply,BTC
2018-03-01 14:00:00,19.9,19.15,19.31,19015.82,376912.51,19.82,multiply,BTC
2018-03-01 15:00:00,19.61,18.88,19.72,19933.32,381539.41,19.14,multiply,BTC
2018-03-01 16:00:00,19.43,19.1,19.14,15849.07,305222.72,19.26,multiply,BTC
2018-03-01 17:00:00,19.49,18.79,19.26,41073.0,782124.91,19.04,multiply,BTC
2018-03-01 18:00:00,19.45,18.54,19.05,32704.09,617954.88,18.9,multiply,BTC
2018-03-01 19:00:00,19.02,18.5,18.89,33751.44,632762.44,18.75,multiply,BTC
2018-03-01 20:00:00,19.25,18.83,18.74,19563.62,370025.83,18.91,multiply,BTC
2018-03-01 21:00:00,18.83,18.5,18.99,19844.9,372594.74,18.78,multiply,BTC
2018-03-01 22:00:00,19.0,18.78,18.76,15860.61,301397.17,19.0,multiply,BTC
2018-03-01 23:00:00,19.02,18.63,19.0,8523.3,160039.09,18.78,multiply,BTC
2018-03-02 00:00:00,18.99,18.57,18.78,17273.96,321494.29,18.61,multiply,BTC
2018-03-02 01:00:00,18.98,18.46,18.61,53072.28,980420.73,18.47,multiply,BTC
2018-03-02 02:00:00,18.41,17.71,18.47,57567.52,1031763.99,17.92,multiply,BTC
2018-03-02 03:00:00,19.56,17.97,17.92,72606.22,1392183.61,19.17,multiply,BTC
2018-03-02 04:00:00,20.36,18.7,19.15,65293.41,1309853.7,20.06,multiply,BTC
2018-03-02 05:00:00,20.66,19.83,20.02,69431.86,1421349.42,20.47,multiply,BTC
2018-03-02 06:00:00,20.9,19.88,20.52,49432.34,987312.65,19.97,multiply,BTC
2018-03-02 07:00:00,20.47,19.74,19.97,40381.22,826798.84,20.47,multiply,BTC
2018-03-02 08:00:00,20.72,20.27,20.42,23774.89,482264.42,20.28,multiply,BTC
2018-03-02 09:00:00,20.31,19.87,20.33,13708.0,274468.65,20.02,multiply,BTC
2018-03-02 10:00:00,20.25,20.04,20.03,15987.45,320845.25,20.07,multiply,BTC
2018-03-02 11:00:00,20.16,19.93,20.04,8072.3,161142.08,19.96,multiply,BTC
2018-03-02 12:00:00,20.4,20.0,20.0,23494.27,470669.83,20.03,multiply,BTC
2018-03-02 13:00:00,20.01,19.59,19.98,12911.37,254736.85,19.73,multiply,ETH
2018-03-02 14:00:00,19.45,19.17,19.74,17820.24,343627.48,19.28,multiply,BTC
2018-03-02 15:00:00,19.4,19.26,19.28,4946.58,95471.57,19.3,multiply,BTC
2018-03-02 16:00:00,19.45,19.3,19.3,2929.6,56691.06,19.35,multiply,BTC
2018-03-02 17:00:00,20.0,19.34,19.35,11889.81,237788.78,20.0,multiply,BTC
2018-03-02 18:00:00,20.55,19.68,19.98,50935.58,1030705.22,20.24,multiply,BTC
2018-03-02 19:00:00,20.35,20.12,20.24,17880.46,359802.47,20.12,multiply,BTC
2018-03-02 20:00:00,20.54,19.83,20.12,23982.1,478665.79,19.96,multiply,BTC
2018-03-02 21:00:00,19.98,19.6,19.96,12703.14,252403.9,19.87,multiply,BTC
2018-03-02 22:00:00,20.53,19.99,19.87,15854.56,319704.98,20.16,multiply,BTC
2018-03-02 23:00:00,20.09,19.67,20.16,9693.06,191925.63,19.8,multiply,BTC
2018-03-03 00:00:00,20.05,19.77,19.8,4278.94,85171.18,19.9,multiply,BTC
2018-03-03 01:00:00,20.39,19.92,19.9,23947.17,488319.32,20.39,multiply,BTC
2018-03-03 02:00:00,20.5,19.85,20.3,27276.0,547608.39,20.08,multiply,BTC
2018-03-03 03:00:00,20.21,19.9,20.08,56859.44,1135463.67,19.97,multiply,BTC
2018-03-03 04:00:00,20.24,19.92,19.94,37969.93,757369.6,19.95,multiply,BTC
2018-03-03 05:00:00,20.52,19.89,19.95,44405.29,887125.72,19.98,multiply,BTC
2018-03-03 06:00:00,19.99,19.52,19.98,22223.31,435136.83,19.58,multiply,BTC
2018-03-03 07:00:00,19.55,19.25,19.58,16595.18,323934.89,19.52,multiply,BTC
2018-03-03 08:00:00,19.83,19.48,19.52,33454.52,655920.75,19.61,multiply,BTC
2018-03-03 09:00:00,19.9,19.39,19.61,58281.38,1150685.36,19.74,multiply,BTC
2018-03-03 10:00:00,20.01,19.52,19.74,128090.65,2557272.5,19.96,multiply,BTC
2018-03-03 11:00:00,19.98,19.52,19.96,15894.72,312666.34,19.67,multiply,BTC
2018-03-03 12:00:00,19.94,19.53,19.62,59639.29,1169268.09,19.61,multiply,BTC
2018-03-03 13:00:00,19.7,19.44,19.61,7565.26,147668.52,19.52,multiply,BTC
2018-03-03 14:00:00,19.57,19.33,19.54,4504.13,87403.22,19.41,multiply,BTC
2018-03-03 15:00:00,19.48,19.4,19.39,5841.64,113439.3,19.42,multiply,BTC
2018-03-03 16:00:00,20.04,19.41,19.42,10980.93,214899.87,19.57,multiply,BTC
2018-03-03 17:00:00,19.65,19.47,19.57,3161.93,61576.08,19.47,multiply,BTC
2018-03-03 18:00:00,19.55,19.39,19.47,10000.79,193931.58,19.39,multiply,BTC
2018-03-03 19:00:00,19.52,19.37,19.39,6592.28,128445.13,19.48,multiply,BTC
