time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,0.05093,0.05007,0.04988,169004.1,8498.12,0.05028,divide,BTC
2018-03-01 11:00:00,0.05039,0.05006,0.05031,2854191.69,143465.14,0.05026,multiply,ETH
2018-03-01 12:00:00,0.05016,0.0493,0.0503,2839914.95,140513.87,0.04948,multiply,ETH
2018-03-01 13:00:00,0.04996,0.04874,0.04957,3027426.62,147932.55,0.04886,multiply,ETH
2018-03-01 14:00:00,0.04929,0.04863,0.04888,3409180.42,167830.47,0.04923,multiply,ETH
2018-03-01 15:00:00,0.04908,0.04885,0.04919,2202668.54,108018.74,0.04904,multiply,ETH
2018-03-01 16:00:00,0.04967,0.04901,0.04908,3170999.99,155493.75,0.04904,multiply,ETH
2018-03-01 17:00:00,0.04995,0.04947,0.04904,2938424.05,145833.99,0.04963,multiply,ETH
2018-03-01 18:00:00,0.04998,0.04964,0.04961,3558260.73,176855.97,0.0497,multiply,ETH
2018-03-01 19:00:00,0.04954,0.0494,0.04979,1378592.51,68097.31,0.0494,multiply,ETH
2018-03-01 20:00:00,0.04962,0.04946,0.0494,1904533.34,94470.65,0.0496,multiply,ETH
2018-03-01 21:00:00,0.04921,0.04911,0.04959,1418765.37,69725.41,0.04915,multiply,ETH
2018-03-01 22:00:00,0.04925,0.04905,0.04921,1670853.98,82280.38,0.04924,multiply,ETH
2018-03-01 23:00:00,0.04916,0.04888,0.04923,3068418.1,150645.41,0.0491,multiply,ETH
2018-03-02 00:00:00,0.04961,0.04904,0.04909,3157183.97,156169.72,0.04946,multiply,ETH
2018-03-02 01:00:00,0.04993,0.04939,0.04912,2806850.8,140110.67,0.04992,multiply,ETH
2018-03-02 02:00:00,0.05036,0.04985,0.04993,3000826.88,150036.2,0.05,multiply,ETH
2018-03-02 03:00:00,0.05044,0.04983,0.05001,2781052.08,139663.77,0.05022,multiply,ETH
2018-03-02 04:00:00,0.05034,0.04995,0.05022,2221860.64,110991.61,0.04995,multiply,ETH
2018-03-02 05:00:00,0.04996,0.04923,0.04996,2643345.83,130374.12,0.04932,multiply,ETH
2018-03-02 06:00:00,0.04977,0.04928,0.0493,2686603.84,132436.46,0.0493,multiply,ETH
2018-03-02 07:00:00,0.04919,0.0489,0.04934,3148791.92,153994.12,0.04891,multiply,ETH
2018-03-02 08:00:00,0.04924,0.0488,0.0489,1927294.13,94739.49,0.04916,multiply,ETH
2018-03-02 09:00:00,0.04917,0.0485,0.04916,2308920.78,112643.5,0.04879,multiply,ETH
2018-03-02 10:00:00,0.04893,0.04786,0.04879,2403497.13,115487.89,0.04805,multiply,ETH
2018-03-02 11:00:00,0.04841,0.04752,0.04809,2096606.76,100961.74,0.04815,multiply,ETH
2018-03-02 12:00:00,0.04838,0.04789,0.04812,2578722.83,123690.4,0.04797,multiply,ETH
2018-03-02 13:00:00,0.04809,0.04759,0.04798,2133995.99,101797.99,0.0477,multiply,ETH
2018-03-02 14:00:00,0.04753,0.04695,0.04771,2727609.12,128687.6,0.04718,multiply,ETH
2018-03-02 15:00:00,0.04787,0.04714,0.04718,2243784.45,106890.66,0.04764,multiply,ETH
2018-03-02 16:00:00,0.04803,0.04713,0.04763,2490313.62,117396.03,0.04714,multiply,ETH
2018-03-02 17:00:00,0.04725,0.04695,0.04712,1779856.58,83895.78,0.04714,multiply,ETH
2018-03-02 18:00:00,0.04722,0.04569,0.04714,3628978.6,167050.79,0.04603,multiply,ETH
2018-03-02 19:00:00,0.0464,0.04533,0.04603,2291501.99,104845.31,0.04575,multiply,ETH
2018-03-02 20:00:00,0.04672,0.04551,0.04583,3241971.05,149671.42,0.04617,multiply,ETH
2018-03-02 21:00:00,0.04678,0.04551,0.04616,2248746.15,104297.05,0.04638,multiply,ETH
2018-03-02 22:00:00,0.04779,0.04494,0.04638,2642237.41,119949.17,0.0454,multiply,ETH
2018-03-02 23:00:00,0.04808,0.04512,0.04536,1880573.43,87112.27,0.04632,multiply,ETH
2018-03-03 00:00:00,0.04724,0.04609,0.04631,1872306.75,86940.47,0.04643,multiply,ETH
2018-03-03 01:00:00,0.0474,0.04636,0.04643,2107049.72,99728.01,0.04733,multiply,ETH
2018-03-03 02:00:00,0.04797,0.04673,0.04736,2287621.12,107098.4,0.04682,multiply,ETH
2018-03-03 03:00:00,0.04694,0.04644,0.04682,2335537.89,109048.01,0.04669,multiply,ETH
2018-03-03 04:00:00,0.04717,0.04629,0.0468,1976351.5,91783.81,0.04644,multiply,ETH
2018-03-03 05:00:00,0.04656,0.04624,0.04646,2376985.44,110483.77,0.04648,multiply,ETH
2018-03-03 06:00:00,0.04653,0.04631,0.04647,1853098.34,86086.19,0.04646,multiply,ETH
2018-03-03 07:00:00,0.04612,0.04556,0.04616,118818.63,5440.34,0.04579,divide,BTC
2018-03-03 08:00:00,0.04625,0.04595,0.04598,2317584.05,106519.78,0.04596,multiply,ETH
2018-03-03 09:00:00,0.04616,0.04585,0.04599,2313934.85,106541.93,0.04604,multiply,ETH
2018-03-03 10:00:00,0.04728,0.04608,0.04604,2573671.19,121404.43,0.04717,multiply,ETH
2018-03-03 11:00:00,0.04724,0.04605,0.04717,2641063.67,121936.4,0.04617,multiply,ETH
2018-03-03 12:00:00,0.04682,0.04626,0.04616,1699951.57,79225.35,0.0466,multiply,ETH
2018-03-03 13:00:00,0.04688,0.0455,0.0467,2032244.72,92939.07,0.04573,multiply,BTC
2018-03-03 14:00:00,0.0456,0.04395,0.04569,3386270.45,152476.03,0.04503,multiply,ETH
2018-03-03 15:00:00,0.04524,0.04443,0.04504,2355926.68,105063.08,0.0446,multiply,ETH
2018-03-03 16:00:00,0.04827,0.04462,0.04466,4272984.48,198901.44,0.04655,multiply,ETH
2018-03-03 17:00:00,0.04646,0.04498,0.04527,361692.39,16474.43,0.04555,divide,BTC
2018-03-03 18:00:00,0.04726,0.04547,0.04587,2261721.0,105885.58,0.04682,multiply,ETH
2018-03-03 19:00:00,0.04728,0.0461,0.04682,1782855.05,84013.9,0.04712,multiply,ETH
2018-03-03 20:00:00,0.04732,0.04666,0.04711,1665990.58,77900.62,0.04676,multiply,ETH
2018-03-03 21:00:00,0.0475,0.0466,0.04678,1425867.76,66703.72,0.04678,multiply,ETH
2018-03-03 22:00:00,0.04724,0.0467,0.04679,1962716.54,92171.14,0.04696,multiply,ETH
2018-03-03 23:00:00,0.04718,0.04688,0.04694,1926355.47,90721.66,0.04709,multiply,ETH
2018-03-04 00:00:00,0.04884,0.04693,0.04709,2202756.05,107022.55,0.04859,multiply,ETH
2018-03-04 01:00:00,0.05003,0.04857,0.0486,4176463.56,206938.85,0.04955,multiply,ETH
2018-03-04 02:00:00,0.05157,0.04903,0.04936,6287423.81,312863.71,0.04976,multiply,ETH
2018-03-04 03:00:00,0.0508,0.04798,0.04973,3484622.63,169431.64,0.04862,multiply,ETH
2018-03-04 04:00:00,0.05037,0.04864,0.0487,3105848.28,154554.62,0.04976,multiply,ETH
2018-03-04 05:00:00,0.04987,0.04941,0.04977,1826665.63,90401.52,0.04949,multiply,ETH
2018-03-04 06:00:00,0.0494,0.04915,0.04952,1836899.85,90603.12,0.04932,multiply,ETH
2018-03-04 07:00:00,0.04993,0.04857,0.04931,2881095.51,140118.83,0.04863,multiply,ETH
2018-03-04 08:00:00,0.04933,0.04793,0.04863,2187745.02,106418.3,0.04864,multiply,ETH
2018-03-04 09:00:00,0.0488,0.0474,0.04864,2978266.14,142672.15,0.0479,multiply,ETH
2018-03-04 10:00:00,0.04933,0.04747,0.0479,2732430.47,134287.01,0.04915,multiply,ETH
2018-03-04 11:00:00,0.05025,0.04919,0.04915,2219880.83,111085.04,0.05004,multiply,ETH
2018-03-04 12:00:00,0.0502,0.04952,0.0498,1541458.3,76683.46,0.04975,multiply,BTC
2018-03-04 13:00:00,0.05009,0.04904,0.04977,1897692.56,93068.05,0.04904,multiply,ETH
2018-03-04 14:00:00,0.04918,0.04833,0.04904,2330097.47,113276.44,0.04861,multiply,ETH
2018-03-04 15:00:00,0.04916,0.04884,0.0486,2535401.39,124416.51,0.04907,multiply,ETH
2018-03-04 16:00:00,0.04928,0.0485,0.04907,2430069.12,118173.97,0.04863,multiply,ETH
2018-03-04 17:00:00,0.04897,0.04821,0.04863,2491995.22,120873.09,0.0485,multiply,ETH
2018-03-04 18:00:00,0.04944,0.04841,0.04858,2259004.46,111681.72,0.04944,multiply,ETH
2018-03-04 19:00:00,0.04954,0.04772,0.04939,2125309.61,102203.03,0.04809,multiply,ETH
