time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-01 10:00:00,0.9498,0.9338,0.9338,23163.85,21881.42,0.9391,direct,
2018-03-01 11:00:00,0.9486,0.9368,0.9426,61983.23,58318.59,0.9402,direct,
2018-03-01 12:00:00,0.9447,0.9363,0.9402,51400.34,48316.77,0.9401,direct,
2018-03-01 13:00:00,0.9722,0.9388,0.9401,32211.04,30773.39,0.9707,direct,
2018-03-01 14:00:00,0.9785,0.9548,0.9719,71336.29,68809.88,0.9633,direct,
2018-03-01 15:00:00,0.9687,0.9421,0.9642,27795.23,26412.47,0.9492,direct,
2018-03-01 16:00:00,0.9596,0.9439,0.9492,14763.29,14047.64,0.9489,direct,
2018-03-01 17:00:00,0.9631,0.9432,0.9489,39788.42,37877.34,0.9629,direct,
2018-03-01 18:00:00,0.9775,0.9606,0.9629,23703.34,22961.76,0.973,direct,
2018-03-01 19:00:00,0.9762,0.9448,0.9726,41207.51,39641.94,0.9483,direct,
2018-03-01 20:00:00,0.9673,0.9473,0.9483,17137.85,16394.99,0.966,direct,
2018-03-01 21:00:00,0.9663,0.9471,0.966,24922.41,23913.76,0.9505,direct,
2018-03-01 22:00:00,0.9611,0.9445,0.9505,281415.08,268850.0,0.9594,direct,
2018-03-01 23:00:00,0.9717,0.9584,0.9591,9406.81,9095.62,0.9659,direct,
2018-03-02 00:00:00,0.973,0.9607,0.9652,8162.05,7914.2,0.9712,direct,
2018-03-02 01:00:00,0.999,0.971,0.9712,38854.75,38247.43,0.9987,direct,
2018-03-02 02:00:00,1.01,0.9961,0.9987,44262.77,44457.39,1.0,direct,
2018-03-02 03:00:00,1.01,0.9924,1.0,20697.68,20914.44,0.9935,direct,
2018-03-02 04:00:00,0.9948,0.9752,0.9935,18901.08,18647.25,0.9803,direct,
2018-03-02 05:00:00,0.9938,0.973,0.9803,10926.86,10833.58,0.9872,direct,
2018-03-02 06:00:00,1.0,0.9863,0.9872,13629.21,13577.54,1.0,direct,
2018-03-02 07:00:00,1.0,0.9746,0.9999,22368.84,22078.85,0.9752,direct,
2018-03-02 08:00:00,0.9779,0.966,0.9752,19999.09,19468.17,0.9689,direct,
2018-03-02 09:00:00,0.9715,0.9418,0.9689,40113.05,38465.07,0.9447,direct,
2018-03-02 10:00:00,0.9541,0.9334,0.9447,16310.9,15354.13,0.9484,direct,
2018-03-02 11:00:00,0.983,0.9463,0.9484,56784.56,55223.98,0.9796,direct,
2018-03-02 12:00:00,0.9869,0.9617,0.9796,113919.97,110837.72,0.9667,direct,
2018-03-02 13:00:00,0.9716,0.9535,0.9665,83818.43,80289.88,0.958,direct,
2018-03-02 14:00:00,0.9585,0.9348,0.9583,35659.77,33790.42,0.9421,direct,
2018-03-02 15:00:00,0.9521,0.9421,0.9421,11409.15,10758.88,0.9427,direct,
2018-03-02 16:00:00,0.9496,0.9321,0.9427,8843.57,8357.69,0.9358,direct,
2018-03-02 17:00:00,0.9461,0.9344,0.9358,33181.84,31177.16,0.9412,direct,
2018-03-02 18:00:00,0.9483,0.94,0.9412,6387.73,6045.59,0.9413,direct,
2018-03-02 19:00:00,0.965,0.939,0.9413,7630.67,7193.15,0.9394,direct,
2018-03-02 20:00:00,0.9495,0.9356,0.9399,27897.01,26329.11,0.9381,direct,
2018-03-02 21:00:00,0.9442,0.9314,0.941,27944.97,26290.88,0.9408,multiply,ETH
2018-03-02 22:00:00,0.965,0.94,0.9411,30630.45,28823.93,0.9499,direct,
2018-03-02 23:00:00,0.9539,0.9399,0.9493,10282.18,9767.1,0.9425,direct,
2018-03-03 00:00:00,0.953,0.938,0.9434,31774.36,29882.13,0.9466,direct,
2018-03-03 01:00:00,0.9659,0.9434,0.9466,47893.81,45705.2,0.9505,direct,
2018-03-03 02:00:00,0.9718,0.9494,0.9505,17927.74,17240.76,0.9702,direct,
2018-03-03 03:00:00,0.9788,0.9669,0.9702,19924.56,19315.66,0.969,direct,
2018-03-03 04:00:00,0.9805,0.9521,0.969,45372.42,43544.9,0.9665,direct,
2018-03-03 05:00:00,0.9677,0.9542,0.9665,24652.43,23844.52,0.9563,direct,
2018-03-03 06:00:00,0.9649,0.9494,0.9563,11714.47,11236.21,0.9507,direct,
2018-03-03 07:00:00,0.9557,0.9471,0.9507,28983.14,27517.67,0.9484,direct,
2018-03-03 08:00:00,0.9658,0.9403,0.9484,18365.81,17415.6,0.9505,direct,
2018-03-03 09:00:00,0.9653,0.9422,0.9505,11710.65,11112.64,0.9471,direct,
2018-03-03 10:00:00,0.9477,0.9404,0.9471,14192.62,13406.0,0.946,direct,
2018-03-03 11:00:00,0.9523,0.9422,0.9454,1861.91,1774.81,0.9496,direct,
2018-03-03 12:00:00,0.9529,0.9414,0.9496,6750.91,6401.45,0.9494,direct,
2018-03-03 13:00:00,0.956,0.9426,0.9497,2744.72,2604.53,0.9497,direct,
2018-03-03 14:00:00,0.9519,0.9457,0.9497,52225.36,49462.61,0.9458,direct,
2018-03-03 15:00:00,0.949,0.9337,0.9458,31483.75,29523.73,0.9347,direct,
2018-03-03 16:00:00,0.9365,0.9311,0.9347,37257.01,34641.14,0.9321,direct,
2018-03-03 17:00:00,0.936,0.9275,0.9321,31862.48,29597.18,0.935,direct,
2018-03-03 18:00:00,0.9354,0.9149,0.935,73983.17,67974.33,0.9189,direct,
2018-03-03 19:00:00,0.9311,0.916,0.9189,13695.42,12671.11,0.9293,direct,
2018-03-03 20:00:00,0.9315,0.9108,0.9302,34832.21,31986.2,0.9197,direct,
2018-03-03 21:00:00,0.9237,0.9132,0.9197,15189.16,13940.42,0.9132,direct,
2018-03-03 22:00:00,0.9246,0.9096,0.9132,9984.41,9112.23,0.9203,direct,
2018-03-03 23:00:00,0.9398,0.9174,0.9203,12998.44,12073.07,0.925,direct,
2018-03-04 00:00:00,0.9278,0.9172,0.925,16969.77,15720.02,0.919,direct,
2018-03-04 01:00:00,0.9263,0.9117,0.918,12530.15,11585.22,0.9263,direct,
2018-03-04 02:00:00,0.9388,0.9114,0.9219,7017.14,6450.84,0.9233,direct,
2018-03-04 03:00:00,0.9408,0.8942,0.9255,22004.94,19921.23,0.8987,direct,
2018-03-04 04:00:00,0.9048,0.891,0.8987,70186.36,62361.3,0.8997,direct,
2018-03-04 05:00:00,0.9222,0.899,0.8997,7801.05,7118.22,0.9072,direct,
2018-03-04 06:00:00,0.9235,0.9046,0.9082,5751.42,5208.24,0.9088,direct,
2018-03-04 07:00:00,0.9205,0.8975,0.9152,5081.55,4589.07,0.9055,direct,
2018-03-04 08:00:00,0.919,0.8929,0.9026,6159.16,5580.92,0.9017,direct,
2018-03-04 09:00:00,0.913,0.9,0.901,1878.8,1711.63,0.9094,direct,
2018-03-04 10:00:00,0.9183,0.8999,0.9094,16031.68,14556.88,0.8999,direct,
2018-03-04 11:00:00,0.9127,0.8968,0.8998,14969.99,13614.62,0.9052,direct,
2018-03-04 12:00:00,0.9176,0.8972,0.9052,5134.96,4687.38,0.9148,direct,
2018-03-04 13:00:00,0.9301,0.9085,0.915,8138.36,7505.13,0.915,direct,
2018-03-04 14:00:00,0.9264,0.9088,0.9144,14053.98,12886.6,0.9154,direct,
2018-03-04 15:00:00,0.9303,0.9074,0.9154,33365.4,30409.07,0.9075,direct,
2018-03-04 16:00:00,0.908,0.8929,0.9062,19746.61,17804.25,0.8988,direct,
2018-03-04 17:00:00,0.9214,0.899,0.8999,30151.73,27301.29,0.9107,direct,
2018-03-04 18:00:00,0.9274,0.9107,0.9107,7874.32,7236.5,0.9253,direct,
2018-03-04 19:00:00,0.9281,0.9193,0.9253,12047.04,11115.8,0.9212,direct,
2018-03-04 20:00:00,0.9305,0.9215,0.9242,9097.26,8442.67,0.9304,direct,
2018-03-04 21:00:00,0.9309,0.9216,0.9258,18726.6,17240.89,0.9273,direct,
2018-03-04 22:00:00,0.9281,0.9153,0.9273,23700.41,21648.0,0.9217,direct,
2018-03-04 23:00:00,0.9315,0.9206,0.9217,18519.87,17171.83,0.9276,direct,
2018-03-05 00:00:00,0.93,0.9123,0.9276,22201.28,20311.61,0.9252,direct,
2018-03-05 01:00:00,0.9338,0.9252,0.9252,4448.18,4137.34,0.9278,direct,
2018-03-05 02:00:00,0.9331,0.9182,0.9278,8512.62,7834.54,0.9254,direct,
2018-03-05 03:00:00,0.9399,0.9254,0.9254,10660.58,9971.93,0.9394,direct,
